"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","","","","","","","","","","62.683","65.252","","65.252","","","","","539f2f008eec29197e8273e18c4494e55c5324bb-0-6d8ddcc5a61a60a38a8a51e161b1cbb3ca91b6f7","539f2f008eec29197e8273e18c4494e55c5324bb","root.record.ItemExhibitList.P5Item","539f2f008eec29197e8273e18c4494e55c5324bb-0-b862d9c19068ae3cbe289d9a264c82ed9c69cc06"
"Army Active","2","2","1","","1","","","","","16.417","18.052","13.617","","13.617","","","","","56affb4e54e3920d41a4f6772855400df726d001-0-fe6667f4fc7b235a9ea9ccd422fd35e7d154d32d","56affb4e54e3920d41a4f6772855400df726d001","root.record.ItemExhibitList.P5Item","56affb4e54e3920d41a4f6772855400df726d001-0-dc22d2d4c91ba9cf8d617709195fc89ba179c9b8"
"Army Active","","10","55","","55","","","","","","96.227","416.617","","416.617","","","","","5c9656a0a540627f4068d9cc1817453199ac275d-0-e12eaff62926f0d03fcebd271fa2b1674771d303","5c9656a0a540627f4068d9cc1817453199ac275d","root.record.ItemExhibitList.P5Item","5c9656a0a540627f4068d9cc1817453199ac275d-0-c96d1c5e0a93e40377de9814be062bf9655a3eda"
"Army National Guard","35","10","","","","","","","","255.62","75","","","","","","","","5c9656a0a540627f4068d9cc1817453199ac275d-1-89d837e18c39dd8541bb182455b29457ff19a716","5c9656a0a540627f4068d9cc1817453199ac275d","root.record.ItemExhibitList.P5Item","5c9656a0a540627f4068d9cc1817453199ac275d-0-c96d1c5e0a93e40377de9814be062bf9655a3eda"
"Army Active","","21","2","","2","","","","","","17.992","2.963","","2.963","","","","","5f46c0a1d7a11c71d766d6f2cfc235f7d70f7f23-0-52818e9af0cf9ce8630d14c7a09903b8fc0c2577","5f46c0a1d7a11c71d766d6f2cfc235f7d70f7f23","root.record.ItemExhibitList.P5Item","5f46c0a1d7a11c71d766d6f2cfc235f7d70f7f23-0-0a49c7e64542661ba513f2675413aefc801568fd"
"Army Active","2","4158","17077","","17077","","","","","38.097","4.159","14.505","","14.505","","","","","5f46c0a1d7a11c71d766d6f2cfc235f7d70f7f23-0-b58dbdb86157a08eace8a577a875b4ea2074b73f","5f46c0a1d7a11c71d766d6f2cfc235f7d70f7f23","root.record.ItemExhibitList.P5Item","5f46c0a1d7a11c71d766d6f2cfc235f7d70f7f23-1-e6356e30ff41dd86b7cc7d4d8fe47a6ab4d3a590"
"Army Active","","","","","","","","","","14.022","13.992","9.154","","9.154","","","","","5f78b697f8724d7964498ccf76740a661d7ce8e1-0-429ec284074466a7c1fd1326b555cf63653fd6b9","5f78b697f8724d7964498ccf76740a661d7ce8e1","root.record.ItemExhibitList.P5Item","5f78b697f8724d7964498ccf76740a661d7ce8e1-0-0a6646f30949b74988914d46fc010549cfc7b605"
"Army National Guard","","","","","","","","","","","","4.4","","4.4","","","","","5f78b697f8724d7964498ccf76740a661d7ce8e1-1-372c30b386e6640717d580a2b7149d569842442a","5f78b697f8724d7964498ccf76740a661d7ce8e1","root.record.ItemExhibitList.P5Item","5f78b697f8724d7964498ccf76740a661d7ce8e1-0-0a6646f30949b74988914d46fc010549cfc7b605"
"Army Active","","","","","","","","","","12.228","11.259","4.406","","4.406","","","","","612ef094ddb4ae5f9574afcb088090d3ed7e194b-0-09bb8731b0335cd9411369b6b9bc9a6731077d4b","612ef094ddb4ae5f9574afcb088090d3ed7e194b","root.record.ItemExhibitList.P5Item","612ef094ddb4ae5f9574afcb088090d3ed7e194b-0-7508f59eb436e087b9b9dedabcd1fe98e367715b"
"Army Active","","","","","","","","","","2.097","1","1","","1","","","","","612ef094ddb4ae5f9574afcb088090d3ed7e194b-0-108aa0811b57fcf4ea5e3d3860f05bfbc20dd228","612ef094ddb4ae5f9574afcb088090d3ed7e194b","root.record.ItemExhibitList.P5Item","612ef094ddb4ae5f9574afcb088090d3ed7e194b-1-15c131a9c9aab725ce289d633b664a3f2327ff40"
"Army National Guard","","","","","","","","","","","3.08","6.339","","6.339","","","","","612ef094ddb4ae5f9574afcb088090d3ed7e194b-1-0565a5356c1ce18b78c8b45ac98daea5a932477f","612ef094ddb4ae5f9574afcb088090d3ed7e194b","root.record.ItemExhibitList.P5Item","612ef094ddb4ae5f9574afcb088090d3ed7e194b-1-15c131a9c9aab725ce289d633b664a3f2327ff40"
"Army Active","","","","","","","","","","31.915","30.282","18.941","","18.941","","","","","612ef094ddb4ae5f9574afcb088090d3ed7e194b-0-229556fd4195f3afd382960d83acbb8a4dc35e20","612ef094ddb4ae5f9574afcb088090d3ed7e194b","root.record.ItemExhibitList.P5Item","612ef094ddb4ae5f9574afcb088090d3ed7e194b-2-8e08dfbc9a65041587d14efba6474ef5c37a02b7"
"Army Active","27","43","236","","236","","","","","10.378","13.531","13.923","","13.923","","","","","6317a103c0035793d33f194b6b26b20ec101a491-0-c3ab3cf6523b6d16f33ca79ec859dc10c166d6bc","6317a103c0035793d33f194b6b26b20ec101a491","root.record.ItemExhibitList.P5Item","6317a103c0035793d33f194b6b26b20ec101a491-0-438d4c5523d3d1fbe03e863cffe22112d2d24c19"
"Army National Guard","28","20","217","","217","","","","","10.378","2.145","12.406","","12.406","","","","","6317a103c0035793d33f194b6b26b20ec101a491-1-dfc25cf9e5f8b4075d342fe4569936aa640e9b71","6317a103c0035793d33f194b6b26b20ec101a491","root.record.ItemExhibitList.P5Item","6317a103c0035793d33f194b6b26b20ec101a491-0-438d4c5523d3d1fbe03e863cffe22112d2d24c19"
"Army Reserve","","","7","","7","","","","","","","0.4","","0.4","","","","","6317a103c0035793d33f194b6b26b20ec101a491-2-7449b2c511745e666c27b87bedcb65eaa013eb4a","6317a103c0035793d33f194b6b26b20ec101a491","root.record.ItemExhibitList.P5Item","6317a103c0035793d33f194b6b26b20ec101a491-0-438d4c5523d3d1fbe03e863cffe22112d2d24c19"
"Army Active","37","66","26","","26","","","","","4.195","5.873","2.351","","2.351","","","","","6317a103c0035793d33f194b6b26b20ec101a491-0-df10e3263ee31347a69d4c705689d1a845a8e884","6317a103c0035793d33f194b6b26b20ec101a491","root.record.ItemExhibitList.P5Item","6317a103c0035793d33f194b6b26b20ec101a491-1-f1a86f8993cb63c75388d7d50be493ded0ca44b5"
"Army National Guard","81","214","82","","82","","","","","9.222","19.086","7.327","","7.327","","","","","6317a103c0035793d33f194b6b26b20ec101a491-1-f60d9be1a70381712587909a0484a4f78ae4a168","6317a103c0035793d33f194b6b26b20ec101a491","root.record.ItemExhibitList.P5Item","6317a103c0035793d33f194b6b26b20ec101a491-1-f1a86f8993cb63c75388d7d50be493ded0ca44b5"
"Army Reserve","18","19","30","","30","","","","","2.045","1.653","2.67","","2.67","","","","","6317a103c0035793d33f194b6b26b20ec101a491-2-d624eee51f622856920d98cf70c94964aedabd12","6317a103c0035793d33f194b6b26b20ec101a491","root.record.ItemExhibitList.P5Item","6317a103c0035793d33f194b6b26b20ec101a491-1-f1a86f8993cb63c75388d7d50be493ded0ca44b5"
"Army Active","15","15","19","","19","","","","","376.857","437.143","190.581","","190.581","","","","","669a85b0f118c35de97ae38681a1d782d3fb69ff-0-c994e56f507dfb4d7e4e1f1e24a1bc131b3ea00e","669a85b0f118c35de97ae38681a1d782d3fb69ff","root.record.ItemExhibitList.P5Item","669a85b0f118c35de97ae38681a1d782d3fb69ff-0-9f6d32e46a4f38373a3bf3adae916acb8c9a6485"
"Army Active","","","","","","","","","","","","3.686","","3.686","","","","","6762cc8ad6c1da174872bc4059e00bac5a7927fd-0-9a7aeb9e6703f8c669ec20175af011a9f6ad114f","6762cc8ad6c1da174872bc4059e00bac5a7927fd","root.record.ItemExhibitList.P5Item","6762cc8ad6c1da174872bc4059e00bac5a7927fd-0-94dbe5a8f66669d81585216da8250e727189207b"
"Army Active","","","2","","2","","","","","","","14.818","","14.818","","","","","6762cc8ad6c1da174872bc4059e00bac5a7927fd-0-058acf18230c355874905be5990502b1650d8631","6762cc8ad6c1da174872bc4059e00bac5a7927fd","root.record.ItemExhibitList.P5Item","6762cc8ad6c1da174872bc4059e00bac5a7927fd-1-8372d1fa24137cf53bd3a0dc8edfe2c74b34de5b"
"Army Active","","","","","","","","","","","","8.409","","8.409","","","","","6762cc8ad6c1da174872bc4059e00bac5a7927fd-0-3d77cf9c3d89de1c91600cdd9cb2677e03f09b24","6762cc8ad6c1da174872bc4059e00bac5a7927fd","root.record.ItemExhibitList.P5Item","6762cc8ad6c1da174872bc4059e00bac5a7927fd-2-22b89bce102b3209ad6d81d66c082e610ade157b"
"Air Force Active","","","","","","","","","","6.344","0.000","","","","","","","","6787c2e289f814c2d6d40b946736c44d0569b6f4-0-d6c66d35e8248b610af464da0443ab36532da6b1","6787c2e289f814c2d6d40b946736c44d0569b6f4","root.record.ItemExhibitList.P5Item","6787c2e289f814c2d6d40b946736c44d0569b6f4-0-7df065efba71fb9c31ec2cc2c05797c6bd1bb599"
"Air Force Active","","","","","","","","","","11.486","7.141","16.803","","16.803","","","","","6787c2e289f814c2d6d40b946736c44d0569b6f4-0-214da645baa55298905196a2ec6d6536f86303b0","6787c2e289f814c2d6d40b946736c44d0569b6f4","root.record.ItemExhibitList.P5Item","6787c2e289f814c2d6d40b946736c44d0569b6f4-1-a0c8b205948f4bc0f7c9c5357e430c9c42719937"
"Air National Guard","","","","","","","","","","","","44.8","","44.8","","","","","6787c2e289f814c2d6d40b946736c44d0569b6f4-1-2813d3bc566a53bfd8a5e55a5392751b16485892","6787c2e289f814c2d6d40b946736c44d0569b6f4","root.record.ItemExhibitList.P5Item","6787c2e289f814c2d6d40b946736c44d0569b6f4-1-a0c8b205948f4bc0f7c9c5357e430c9c42719937"
"Air Force Active","","","","","","","","","","1.362","0.000","","","","","","","","6787c2e289f814c2d6d40b946736c44d0569b6f4-0-ed9567828275b24861c32124500d918075d06bed","6787c2e289f814c2d6d40b946736c44d0569b6f4","root.record.ItemExhibitList.P5Item","6787c2e289f814c2d6d40b946736c44d0569b6f4-2-bf88c8088ac5fdd95a5a714eb62f5fad4a545479"
"Army Active","3","2","4","","4","","","","","7.881","3.089","3.553","","3.553","","","","","67c874bacf7b9dca0b9d2602f0e7391636811051-0-f0e5b098622d3b1ea06c0f9fb1d7f89abd5eb898","67c874bacf7b9dca0b9d2602f0e7391636811051","root.record.ItemExhibitList.P5Item","67c874bacf7b9dca0b9d2602f0e7391636811051-0-177f03453126bb93c77caff71d7705107d9f6cad"
"Army National Guard","","1","2","","2","","","","","2.6","1.281","2.173","","2.173","","","","","67c874bacf7b9dca0b9d2602f0e7391636811051-1-06f05f868139d109d1da44d74955da61c40ab69d","67c874bacf7b9dca0b9d2602f0e7391636811051","root.record.ItemExhibitList.P5Item","67c874bacf7b9dca0b9d2602f0e7391636811051-0-177f03453126bb93c77caff71d7705107d9f6cad"
"Army Active","","","256","","256","","","","","","","8.603","","8.603","","","","","6837f8a0addcd824e4bddd1cf54e4c1add0df11c-0-b3cbca962b0d16052d49f80d9b40adc88f22764c","6837f8a0addcd824e4bddd1cf54e4c1add0df11c","root.record.ItemExhibitList.P5Item","6837f8a0addcd824e4bddd1cf54e4c1add0df11c-0-b51d87b24a7bffd0b5fb73a15734d4b44f4a432c"
"Army Reserve","275","648","49","","49","","","","","24.843","58.468","3.875","","3.875","","","","","6837f8a0addcd824e4bddd1cf54e4c1add0df11c-1-e154387d0047d5e6f1ae39cc81e281cc10900797","6837f8a0addcd824e4bddd1cf54e4c1add0df11c","root.record.ItemExhibitList.P5Item","6837f8a0addcd824e4bddd1cf54e4c1add0df11c-0-b51d87b24a7bffd0b5fb73a15734d4b44f4a432c"
"Army Active","49","53","8","","8","","","","","169.685","186.031","27.1","","27.1","","","","","6a8594c361642d74bfd1730cee2038d500e9e124-0-336aee8152d945ce0cbffe3ec9980bd5a0cf7062","6a8594c361642d74bfd1730cee2038d500e9e124","root.record.ItemExhibitList.P5Item","6a8594c361642d74bfd1730cee2038d500e9e124-0-f54425f9c14b7a549f4416fa64fd614d033edf50"
"Army National Guard","","","7","","7","","","","","","","23.351","","23.351","","","","","6a8594c361642d74bfd1730cee2038d500e9e124-1-b9c39c91fe2a4ff542fa5c436574630c0e6b008d","6a8594c361642d74bfd1730cee2038d500e9e124","root.record.ItemExhibitList.P5Item","6a8594c361642d74bfd1730cee2038d500e9e124-0-f54425f9c14b7a549f4416fa64fd614d033edf50"
"Army Active","","15","121","","121","","","","","","1.563","6.346","","6.346","","","","","703d61a439232bba8d3accf38b39c9c80f6917b9-0-4f28c5f187e57e932703f32df012beaf13b88537","703d61a439232bba8d3accf38b39c9c80f6917b9","root.record.ItemExhibitList.P5Item","703d61a439232bba8d3accf38b39c9c80f6917b9-0-039ae682dd5b013a71180f68c147cffd7186d48f"
"Army Active","","20","","","","","","","","7.365","8.505","","","","","","","","7442e7415d1678d78e6f10b975484a169aaa2330-0-dcc1ea0abe4ed55ec549d40ba68a75e4e1fef28e","7442e7415d1678d78e6f10b975484a169aaa2330","root.record.ItemExhibitList.P5Item","7442e7415d1678d78e6f10b975484a169aaa2330-0-e2ad44c8e351e2c60ee14fd3747da5191d84d86d"
"Army Active","14","16","6","","6","","","","","13.45","14.596","5.442","","5.442","","","","","7442e7415d1678d78e6f10b975484a169aaa2330-0-90037762e9e80375cc6d5bf0bf4e22677a0daa21","7442e7415d1678d78e6f10b975484a169aaa2330","root.record.ItemExhibitList.P5Item","7442e7415d1678d78e6f10b975484a169aaa2330-1-847819a7fc20a036185aa59ee2fe4ca8d7e9211b"
"Army Active","","","","","","","","","","5.136","5.296","5.44","","5.44","","","","","75233861860a925d609e2322e470e0cc55c2310c-0-be85c7a3d70c71ff98690ea5a822ecbdc79c3149","75233861860a925d609e2322e470e0cc55c2310c","root.record.ItemExhibitList.P5Item","75233861860a925d609e2322e470e0cc55c2310c-0-8d48ed13d141a4c3306d860e9f5d26b106c0776f"
"Army Active","","","","","","","","","","11.438","2.738","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-0-7fcbb963cc0bd1dba4bde589b561073728378fc0","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-0-e41dc5db9a5814551cbaac426530368ecd69509c"
"Army National Guard","","","","","","","","","","5.093","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-1-e1da93a68f2f11b3b015ca175d1bf4bc39baca3c","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-0-e41dc5db9a5814551cbaac426530368ecd69509c"
"Army Reserve","","","","","","","","","","3.128","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-2-79fabe16ddbf154c6c0860a4d4721a764ab86255","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-0-e41dc5db9a5814551cbaac426530368ecd69509c"
"Army Active","","","","","","","","","","3.327","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-0-58019eb69763be4ee4df5ee609009ef836d95065","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-1-f6aaf0fbba03668e4a51cc9f661c161e3326e2ac"
"Army National Guard","","","","","","","","","","2.81","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-1-5604c936e93f6f6608e31d2cef937b1187b2d4f0","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-1-f6aaf0fbba03668e4a51cc9f661c161e3326e2ac"
"Army Reserve","","","","","","","","","","1.257","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-2-6d5024ca936fce2c85b9ccd8e759515780673d0e","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-1-f6aaf0fbba03668e4a51cc9f661c161e3326e2ac"
"Army Active","","","","","","","","","","4.186","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-0-736fbe69d356a4045ee86810a7200152bb87e948","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-2-1b3ce60d3bd5e192fc31fa57220b1b06f8a5baa2"
"Army National Guard","","","","","","","","","","0.737","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-1-4f7f90c797734d5a2d1e26885f7101f9283a3754","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-2-1b3ce60d3bd5e192fc31fa57220b1b06f8a5baa2"
"Army Reserve","","","","","","","","","","0.587","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-2-2e8ccf68515d6381ecc55f5114f7564e6926e985","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-2-1b3ce60d3bd5e192fc31fa57220b1b06f8a5baa2"
"Army Active","","","","","","","","","","2.083","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-0-ad47125505a7bad457feaea5bfb8f102f81aac35","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-3-e9eefead9a24277750d9d9d5fb76d4fb136e9a19"
"Army National Guard","","","","","","","","","","1.2","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-1-8ac7ff6c55c67f7ce4a1785b43877ca0be36430c","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-3-e9eefead9a24277750d9d9d5fb76d4fb136e9a19"
"Army Active","","","","","","","","","","18.422","12.738","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-0-6ea2de54dc99271f97582cd7556da978efaf8b0f","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-4-e188f9288429940cb3f6d040e979378458634290"
"Army National Guard","","","","","","","","","","5.846","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-1-45480c18ca1941881ddceb9f1d3b35eb8fd807ff","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-4-e188f9288429940cb3f6d040e979378458634290"
"Army Reserve","","","","","","","","","","3.384","","","","","","","","","7562fd3d71d4fc5304640fff3447e7578db9dd4e-2-be5a6280c0a2683dbe0b3fc65e96d0bb5fbbb18c","7562fd3d71d4fc5304640fff3447e7578db9dd4e","root.record.ItemExhibitList.P5Item","7562fd3d71d4fc5304640fff3447e7578db9dd4e-4-e188f9288429940cb3f6d040e979378458634290"
"Army Active","10","","","","","","","","","24.366","","","","","","","","","76555e681148c8cae899b00de407570a53608c83-0-ca0de55340bb1c35a083f4a49210744f276267c9","76555e681148c8cae899b00de407570a53608c83","root.record.ItemExhibitList.P5Item","76555e681148c8cae899b00de407570a53608c83-0-6c8c218087a025bd2462c58a12536f6c23451c34"
"Army Reserve","1","","","","","","","","","0.993","","","","","","","","","76555e681148c8cae899b00de407570a53608c83-1-328d34012f5678d6dbf5fc6f6e4e4a67c5b6c6df","76555e681148c8cae899b00de407570a53608c83","root.record.ItemExhibitList.P5Item","76555e681148c8cae899b00de407570a53608c83-0-6c8c218087a025bd2462c58a12536f6c23451c34"
"Army Active","","","","","","","","","","","1.423","4.92","","4.92","","","","","7905378ba0a9dbfb5080178437eb792f0ecb35cc-0-d16cb8b1381e4d06214d604f91ed5c45f406ffe0","7905378ba0a9dbfb5080178437eb792f0ecb35cc","root.record.ItemExhibitList.P5Item","7905378ba0a9dbfb5080178437eb792f0ecb35cc-0-2ad8fb9f1e79189343fc43e1c29f969283811032"
"Army Active","","","","","","","","","","22.89","9.131","8.468","","8.468","","","","","7905378ba0a9dbfb5080178437eb792f0ecb35cc-0-dadfae75b7eee9837e6a57972774e68d0e174826","7905378ba0a9dbfb5080178437eb792f0ecb35cc","root.record.ItemExhibitList.P5Item","7905378ba0a9dbfb5080178437eb792f0ecb35cc-1-2333753c6db7008fdabef032e232191c36daadef"
"Army National Guard","","","","","","","","","","14.345","5.729","5.313","","5.313","","","","","7905378ba0a9dbfb5080178437eb792f0ecb35cc-1-35e2248a55d7460c2da53a2b5e8a94f8bd4f6ad6","7905378ba0a9dbfb5080178437eb792f0ecb35cc","root.record.ItemExhibitList.P5Item","7905378ba0a9dbfb5080178437eb792f0ecb35cc-1-2333753c6db7008fdabef032e232191c36daadef"
"Army Reserve","","","","","","","","","","7.627","3.044","2.823","","2.823","","","","","7905378ba0a9dbfb5080178437eb792f0ecb35cc-2-1aef1b0890ae5733b660ec131774df33fbf485b0","7905378ba0a9dbfb5080178437eb792f0ecb35cc","root.record.ItemExhibitList.P5Item","7905378ba0a9dbfb5080178437eb792f0ecb35cc-1-2333753c6db7008fdabef032e232191c36daadef"
"Army Active","85","","","","","","","","","7.012","0.285","1.64","","1.64","","","","","79ce21fec3df8acdfa66a715c28913516ed23a51-0-3fb8d90d5978fee2f98831cae59fa49be81a8683","79ce21fec3df8acdfa66a715c28913516ed23a51","root.record.ItemExhibitList.P5Item","79ce21fec3df8acdfa66a715c28913516ed23a51-0-d833ae00725d0d718c7090d8689865d1252ca8e5"
"Army National Guard","51","","","","","","","","","4.394","2.742","1.475","","1.475","","","","","79ce21fec3df8acdfa66a715c28913516ed23a51-1-c61e8a3a6b7b2ed5e6bf96ff42e95f27a10f4129","79ce21fec3df8acdfa66a715c28913516ed23a51","root.record.ItemExhibitList.P5Item","79ce21fec3df8acdfa66a715c28913516ed23a51-0-d833ae00725d0d718c7090d8689865d1252ca8e5"
"Army Active","1360","","456","","456","","","","","19.155","","6.465","","6.465","","","","","7b9b42091b9e180e50438699c61df9277c40685c-0-4cb01e8bd49ffc56100928d95c0d89e91b946c91","7b9b42091b9e180e50438699c61df9277c40685c","root.record.ItemExhibitList.P5Item","7b9b42091b9e180e50438699c61df9277c40685c-0-d483f84a6532e64bff4fec1ac9e86b75b49da575"
"Army National Guard","","","447","","447","","","","","","","4.542","","4.542","","","","","7b9b42091b9e180e50438699c61df9277c40685c-1-8ea896e06c1dbe7b11a1505e4a1a00f2872d951c","7b9b42091b9e180e50438699c61df9277c40685c","root.record.ItemExhibitList.P5Item","7b9b42091b9e180e50438699c61df9277c40685c-0-d483f84a6532e64bff4fec1ac9e86b75b49da575"
"Army Reserve","","","60","","60","","","","","","","1.968","","1.968","","","","","7b9b42091b9e180e50438699c61df9277c40685c-2-f47ddcce7587d7d4f02e8ec152fcc164546f8e28","7b9b42091b9e180e50438699c61df9277c40685c","root.record.ItemExhibitList.P5Item","7b9b42091b9e180e50438699c61df9277c40685c-0-d483f84a6532e64bff4fec1ac9e86b75b49da575"
"Army Active","","","","","","","","","","1.443","1.748","1.522","","1.522","","","","","7bf8ad9385a8d777cf5689e11d88db3e1c6c0055-0-e39646122509a02cc798572b0821b92da1a59cb8","7bf8ad9385a8d777cf5689e11d88db3e1c6c0055","root.record.ItemExhibitList.P5Item","7bf8ad9385a8d777cf5689e11d88db3e1c6c0055-0-4586b4401aebcfbcae62b870905c7e0aec9cfa99"
"Army Active","","","","","","","","","","9.096","7.232","1.208","","1.208","","","","","7c54d369028bf033c3beee91befde7032143478e-0-571f5437ed785fec974b823d53c3be00bc52dbf9","7c54d369028bf033c3beee91befde7032143478e","root.record.ItemExhibitList.P5Item","7c54d369028bf033c3beee91befde7032143478e-0-a90dbbf17e6300939c2ac99d815ac1579e2696ac"
"Army National Guard","","","","","","","","","","","","3.867","","3.867","","","","","7c54d369028bf033c3beee91befde7032143478e-1-810c7122b74dd3cef53d3d81bea9c22d8f21c2cd","7c54d369028bf033c3beee91befde7032143478e","root.record.ItemExhibitList.P5Item","7c54d369028bf033c3beee91befde7032143478e-0-a90dbbf17e6300939c2ac99d815ac1579e2696ac"
