"Name_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Reserve","","0.000","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","8.875","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-8d557adc182abb1ef5224d9cc45e9a13e51ad5f7","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-11-06983aeab88cc0d1fef9e6d5621999d53706c975"
"Air Force Active","","4.258","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-4257c6e7c5859e7efe98b7d20aa677890e23ee6e","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-12-7242de66585d25d623c980dcb7da4743f4ae728f"
"Air National Guard","","1.742","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-4fadda671f8ed4034f71ee2ac5a2322e2834bcc9","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-12-7242de66585d25d623c980dcb7da4743f4ae728f"
"Air Force Active","","2.5","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-6bb4e65b8f5787346268a331585980135bb8797f","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-13-064667c3f43b585962cf401c87505f6c6a7f261d"
"Air Force Active","","0.000","","0.001","","0.001","","0.001","2.832","","0.000","","0.001","","1.104","","1.656","","1.611","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-3387c5e819832dc455989f328a7534a67920463b","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-14-dc8dab8108c2343254e79c8deb8d20cc089c8944"
"Air Force Active","","1.9","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-ae9167266843044df93c179e4cf76496099a3d91","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-15-7105aec1ef6cd1038f1f381a96b0ab0193b59129"
"Air Force Active","","0.000","","0.001","","0.001","","0.001","0.703","","0.000","","0.001","","1.787","","1.657","","1.657","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-d4ed09aa6b9f9520f93fec2c3c6eeed348b50078","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-16-b22ae3a73bf12fe1573cf292cc4ed2a167be3d2e"
"Air Force Active","","0.000","","0.001","","0.001","","0.001","0.416","","0.000","","0.001","","1.9","","1.6","","1.6","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-ff8864494f112077c722ca841ab4186bf7ce38cf","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-17-00b5013a26f397de38c5fa9488700351d599c961"
"Air Force Active","","1.562","","1.338","","0.002","","0.002","8.475","","0.000","","1.961","","1.999","","1.999","","1.999","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-7e9d2dd3e92fe4ae9791de6c9ad54121e97f1d41","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-18-d665869f66e094139f188e857f6507663731186d"
"Air Force Active","","2.314","","0.000","","0.000","","0.000","11.435","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-a110fc7109997753fd46eb9db0f317c9317fbbdb","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-19-dcb73e9830b617515c22ea1ed4e941c579f4bc15"
"Air National Guard","","1.364","","0.000","","0.000","","0.000","1.553","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-6790ac4aa4bcb816adc5ca65fdd7bb472dfe4a1c","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-19-dcb73e9830b617515c22ea1ed4e941c579f4bc15"
"Air Force Reserve","","0.783","","0.000","","0.000","","0.000","0.892","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-c5c51b5e98313ed8681a5c1199292ca282fb2847","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-19-dcb73e9830b617515c22ea1ed4e941c579f4bc15"
"Air Force Active","","0.000","","28.3","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-486f0fdb03484ba62e8ad67f20f183005474b90c","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-e75837973e934298e1f0d9017f98e1451d98d81b"
"Air Force Active","","0.000","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-4ddf6643a7222856d49bc635c7ca115358279d47","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-1-4143006f7386472629205afeb3f87bb61f988aee"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-1-f95276001bc3b79e22bce54bd3919e9ada13fc26","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-1-4143006f7386472629205afeb3f87bb61f988aee"
"Air Force Reserve","","0.000","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-2-aea8f2888b3daab63be13ecf77a8e6fd1bd0f87d","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-1-4143006f7386472629205afeb3f87bb61f988aee"
"Air Force Active","","0.000","","0.000","","0.42","","0.42","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-a37a32a52d0e66dea88f2b642df113c3c18cf490","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-2-21a4388afef2f3dba5ac8f1e6c15d900b7fb7db6"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-1-ba36bc97cb9332479f233c5970274cfa61faa790","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-2-21a4388afef2f3dba5ac8f1e6c15d900b7fb7db6"
"Air Force Reserve","","0.000","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-2-4662084d28b8946cf2fe5679a2aba84444b677af","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-2-21a4388afef2f3dba5ac8f1e6c15d900b7fb7db6"
"Air Force Active","","0.000","","30.447","","3.039","","3.039","0.000","","0.000","","1.103","","1.065","","0.994","","1.014","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-0-a3733dd85cad541aa6d0f4dd314e17cc7a33a4f5","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-3-8ff3889daf6543a8760cb8f853ec34222b9f6fcf"
"Air Force Reserve","","0.000","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-1-53425520cd1d4df0abb7b7187bbb7301ae6d9a0d","5018dd4c7845656349319a2a7b4a2f59e8a2f92f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","5018dd4c7845656349319a2a7b4a2f59e8a2f92f-3-8ff3889daf6543a8760cb8f853ec34222b9f6fcf"
"Air Force Active","","0.000","80","14.88","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-73db6a44df3dcb3095f54ca8aa37365e228374bc","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-1-c078eb78f6a729b54855dcfd42c06bdf6458f05b"
"Air Force Active","","0.000","246","6.651","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-9bf0aab8fb6de8e33e399cec836691e8e035f1ee","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-2-bd811f360106fd0b28d96745938d714cb199986c"
"Air Force Active","","0.000","82","10.25","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-f93686a28ef4fda85883375547940b181bd0951e","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-3-ecc7db87a0f8d8b42351d960ff6aa73f937749f5"
"Air Force Active","4","1.08","","","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-fd64029fc121ff82231480447249ac4a815bd32a","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-378472ecc0b59d864d98495dd379556038ff2f36"
"Air Force Active","8","0.495","","","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-26f886333d084aa062f61e2e1ceaa02bffe94dfd","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-aa4cb716bc8a595c286eb5403c04bc3fabe2ca3e"
"Air Force Active","60","12.6","","","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-43b2bfbf436eda20e69a2d64cefaea19747573ba","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-1-ed8a143cdc099156a88b0dcb76c14a2e5feef70e"
"Air Force Active","","","3","0.9","4","1.3","4","1.3","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-7f2c0e836e81bed92ca785ea7d8ba12074409c5e","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-4-23d916c0a17c69062fa181ea4e82be038ace4c6f"
"Air Force Active","","","","","7","2.1","7","2.1","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-ad366edbf8b36c9aba395bc844aa7aae4620858e","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-5-0c7d6c9572647d1b5fa0b29e9f38c08e9c0f9c68"
"Air Force Active","","","20","0.3","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-190b693f806f576428a867eee283843a6c53223d","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-6-f3914869bc4690aa09ec9bce6e6e5080c80cd210"
"Air Force Active","","","8","0.4","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-9ad4bb08ccea7dadfaacee806198bb60195c1466","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-7-0ac1288f4070702cb527a7710001d43297dd17f3"
"Air Force Active","","","","","2","0.16","2","0.16","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-ee794a3e18443157921d847c2a52306d470b9110","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-8-1484cb7c06e4414320197579b9add2b00c820c17"
"Air Force Active","5","4.085","","","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-32ca1051c571c099fd2bd2266d94630125fe6ab5","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-9-a733314587c7aececb1611c9f75379f9016b9fe1"
"Air National Guard","","","","","2","10.229","2","10.229","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-e351fa6c19235a1a18b0ccb32da076e12966b363","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-10-291cd63c22405b19e4115e6da8b35338c0dc4fc9"
"Air Force Active","4","4.6","7","25.678","1","8.579","6","69.179","","","60.6","5","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-786e9000f8db6c90f5f2648c04fcfb4474daaeae","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-11-d9412139c403ea281cddbc8932311f846eca8065"
"Air Force Active","1","0.917","1","0.555","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-e737425c0012f7f951a414e06ddf0fbff1a39bac","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-12-8c856038ed072a662c67927e8124901d91528920"
"Air Force Active","1","0.56","","","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-435c760071c1a1005dfb9dcbcd595fe520964d54","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-13-1f639640c7c0ef3aa5e1214215756bfc00519738"
"Air Force Active","1","1.017","","","","","","","","","","","","","","","","","","","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-0-45c4c7d701f53fac9753bd42777606a30a88219f","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","c1461d3f38cde1f065cb9f26b1fde748cfd6fd4a-14-539c0f68d814b35ea7a77b2dd081dcb3ca877cbf"
"Air Force Active","","0.000","","0.107","","0.000","","0.000","4.223","","","","0.000","","0.000","","0.000","","0.000","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-31cc864a8009241179c2c19c2be72a6aa6f64e24","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-5ca5f58ecf8b52baeadb2394ea033b69961ddb60"
"Air Force Active","","0.000","","0.000","","0.000","","0.000","92.446","","","","0.1","","0.105","","0.102","","0.000","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-d7752f1241d12effedf54e395b3ff9cd335a95d5","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-1-2b8b95fe4cad62677f82cadbf8a3c3f4bcef29ce"
"Air Force Active","","0.963","","0.000","","0.000","","0.000","530.526","","","","0.000","","0.000","","0.000","","0.000","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-289babb9e39b793ecdc5639921ab31925efcf34e","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-2-1ef59548ad892f5cf56ad9ba4536da40513f67fa"
"Air Force Active","","22.976","","3.45","","0.000","","0.000","20.172","","","","0.000","","0.000","","0.000","","0.000","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-64be5f592c03ed412bdb81d169b35648f86bd9a0","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-3-7c66230e3c68ff6252329fa785f4e26377096ea7"
"Air Force Active","","0.965","","11.536","","0.000","","0.000","20.868","","","","0.000","","0.000","","0.000","","0.000","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-915d58b424a0d901e165de45fa0edbe02163ec87","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-4-40c1105f8c1e3fc1681b28f998fe5569dcd38fc7"
"Air Force Active","","0.209","","1.411","","3.302","","3.302","0.000","","","","4.116","","3.682","","4.409","","3.514","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-355804a4e60160dc7346be17500152f5d79e479b","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-5-b0b7c9c8bdd858db69cf86067afee2803a2a03db"
"Air Force Active","","1.572","","1.703","","0.785","","0.785","0.000","","","","1.461","","2.979","","3.316","","0.821","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-289917f12760fea59cfa2ff65b8e4f83bac3db61","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-6-1bf347af6896970de4f877a815a606413a36e145"
"Air Force Active","","0.000","","0.599","","1.644","","1.644","0.000","","","","2.613","","1.982","","1.072","","4.621","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-bc9f0f5910abf97d760ba4ab20a3e8cc06e16fb4","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-7-2e7e09b2fb98a6219737c5b895e7ef090b10bd09"
"Air Force Active","","0.000","","0.000","","0.000","","0.000","0.000","","","","0.000","","12.1","","8.9","","0.000","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-5fe2dd1c8c3dc34d653ec70330b6d2371518254a","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-8-f57235c8fd3878d7c0dc870d5a081e1b3b7be174"
"Air Force Active","","0.000","","0.000","","0.000","","0.000","0.000","","","","0.000","","0.000","","0.000","","9.06","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-c4636d5143d3afc3622968fdb26261262e7559a7","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-9-df1a70313dfa77f3d5afece170a3e96ff3bdbb3b"
"Air Force Active","","0.000","","0.000","","0.000","","0.000","0.000","","","","0.000","","19.351","","18.905","","9.472","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-94cc70952d89e964d9ebdc3fe186a4fed7a97c90","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-10-61aa13937ad375e0ef0daa2042c677982e2627dc"
"Air Force Active","","0.000","","0.383","","1.313","","1.313","6.118","","","","0.627","","0.638","","0.722","","0.735","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-93f0de211376ba93353bdf28d4bd6b5182f2c6b9","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-11-4c89d92e63dbff5d675f102dcc1c38b5bcd2d404"
"Air Force Active","","0.000","","0.188","","0.5","","0.5","13.766","","","","0.533","","0.551","","0.617","","0.628","","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-44aa0576c48a88bd5a724088bfce1061505f3734","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-12-fae46135755b64b86a7f5827d90ae979ba17c679"
