"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"AC-130U:INSTALL KITS Group A (Active)","","15","","","","","","15","","","","","","53.926","","","","","","53.926","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-e41d1c07fd7633fef7773ab87d7f1394f81f084b","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-cf3bca12c273b6f50420a693ab0df481878f840f"
"C-130H1:INSTALL KITS Group A (Active)","","28","","","","","","28","","","","","","102.218","","","","","","102.218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-c5f8617da889342205629eacc273af8386ea22aa","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-9e05e04042f07038eb62cacce78eb7fb99f678ad"
"C-130H2/3:INSTALL KITS Group A (Active)","","14","","","","","","14","","","","","","54.53","","","","","","54.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-e6cbc5988e30eff50d7f82fae83b9fa66a2cb452","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-b43ee905c8f8b4cefa528646fd536797c31f3026"
"C-130H2/3:INSTALL KITS Group A (Guard)","","4","","","","","","7","","3","","","","16.851","","","","","","31.352","","14.501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-fb8e2c253d428678c91798789a6c632e7191f5d8","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-b43ee905c8f8b4cefa528646fd536797c31f3026"
"C-130H2/3:INSTALL KITS Group A (Reserve)","","2","","","","","","5","","","3","","","8.364","","","","","","22.865","","","14.501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-ab99f252d05189c2d7e0fb3c1b412a7f99678fb4","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-b43ee905c8f8b4cefa528646fd536797c31f3026"
"EC-130H:INSTALL KITS Group A (Active)","","14","","","","","","14","","","","","","54.834","","","","","","54.834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-58673cd59a8098fad5b1a539106b17fbb03c7f31","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-3-46dc7a1476daee7a75b547f038e6040e95facc80"
"HC-130:INSTALL KITS Group A (Active)","","4","","","","","","4","","","","","","17.311","","","","","","17.311","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-d5390bb3ceb9d3730f66a79cb2b2c26232c87a34","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-4-f8befed6fcbad1ffa49a46a5f6ccf862de5d28d9"
"MC-130H:INSTALL KITS Group A (Active)","","20","","","","","","20","","","","","","72.078","0","","","","","72.078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-d69e868ec800a4d4a3a168be00512db880c40f1c","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-5-8c8651ade15040410986951687b2698aba741e19"
"Kit Quantity","","","","","","","","750","","138","612","","","","","","","","","80.24","","22.252","57.988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3-0-46403bc1604f363ac7840080aca2883d7def49b8","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3-0-c63a8af9325b122d40f683b3d224aa9cce0d8e77"
"Government Test","","","","","0","0","0","0","0","0","0","","","","","","0.395","0.395","0.531","11.408","0.269","3.278","6.935","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3-1-d255f5e024fdd7df8cffe0d04e0a7396a311d2e3","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3-0-c63a8af9325b122d40f683b3d224aa9cce0d8e77"
"Facilitization","","","","0","","","","0","","","","","","","","18.221","","","","18.221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3-2-1f7ec1c7b4ed4ccef8cdd39a7c6fc869897eef8c","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3-0-c63a8af9325b122d40f683b3d224aa9cce0d8e77"
"Protected:INSTALL KITS Group A (Active)","","0","","2","0","0","2","4","","","","","","0","","7","0","0","7","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-83e05931c134fc34d3ce1d39cfbd153735cfb416","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-65230898671b10a9ae089dbda1b1cad4f12566b3"
"Protected:INSTALL KITS Group A (Guard)","","0","","","0","0","","0","","","","","","0","","","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-1-6b540a7df3ffd76d3a0c3ebd33e22411a7579dd1","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-65230898671b10a9ae089dbda1b1cad4f12566b3"
"Protected:INSTALL KITS Group A (Reserve)","","0","","","0","0","","0","","","","","","0","","","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-2-2e5e695a64c5f06ee27b87bbb0bbe7fe76468335","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-65230898671b10a9ae089dbda1b1cad4f12566b3"
"Wideband:INSTALL KITS Group A (Active)","","","","2","2","2","","4","","","","","","","","12.65","13","13","","25.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-a92dcf726a21f469f77aa72d3c9d34b5d3b27fb0","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-1-fd297ebefc5b8c93f7d8aebb0295a6ec45cf8f33"
"1.1.1) Install Kits - A kits (A to C Conversion) - NonOrganic","Backlog at Depot has resulted in delays in A to C conversion A-Kit installation schedule.","54","","","","","","54","","","","","","13.266","","","","","","13.266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-f06c01d9b6d3d8afe77b3e87e736f6f45aa586b9","146dd9cae5842cf2c19c48202bb5bcc0efbab36a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-1cc92e8bb31cf233583f18941ca7f2f65bf5a77f"
"1.1.2) ADS-B Out - NonOrganic","FY16-19 includes the addition of the new Automatic Dependent Surveillance-Broadcast Out (ADS-B) capability for the T44.  This capability will be required to comply with the FAA mandated Automatic Dependent Surveillance Broadcast (ADS-B Out) hardware. This capability upgrade will be incorporated into the aircraft avionics hardware and software components along with training courseware and hardware.  In FY16, 2 kits are VAL/VER kits and procurement includes all costs to include installation.  The fluctuation in cost throughout the FYDP is due to expected pricing efficiencies as commercial sources increase production to meet demand.","","","2","24","24","24","54","4","","","","","","","2.181","3.727","3.727","2.027","9.321","1.386","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-1-49b4698afb38a9ff8d6e672b47cd74f1fcc58b75","146dd9cae5842cf2c19c48202bb5bcc0efbab36a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-1cc92e8bb31cf233583f18941ca7f2f65bf5a77f"
"1.1.1) ADS-B Out - NonOrganic","Line was updated to combine non-organic and organic installs in prior exhibits to non-organic.  FY16 Low Rate Initial Production (LRIP) kits qty (10) are higher cost per unit.  The fluctuation in cost throughout the FYDP is due to different quantities of lot purchase and expected pricing efficiencies as commercial sources increase production to meet commercial demand.","","","10","48","48","48","122","16","","","","","","","2.2","3.682","3.682","2.667","10.266","1.717","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-448be03bfcf846a5e8d32f9c41cf5cad7faa6b21","146dd9cae5842cf2c19c48202bb5bcc0efbab36a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-b9c23c3fb273f2c9513701b3e414f3b3a41fe7f6"
"1.1.2) TACAN + R-NAV Replacement - Organic","In FY17 and out, kits will be installed to replace obsolete avionics.","","","","22","22","34","122","34","15","17","","","","","","1.801","1.801","2.909","10.496","2.937","1.324","1.525","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-1-125bd28b7a9ce30cb9e81a783fa8d240a6be32d5","146dd9cae5842cf2c19c48202bb5bcc0efbab36a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-b9c23c3fb273f2c9513701b3e414f3b3a41fe7f6"
"1.1.1) Inactive OSIPs - Organic","","","","","","","","","","","","","","51.174","","","","","","51.174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-1879610256d5889c94908f6f4cb6157b79c1bf37","146dd9cae5842cf2c19c48202bb5bcc0efbab36a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-7a5abee5e283b5fb250bebd946e52013b1981d6f"
"SLEP 3 Depot:INSTALL KITS Group A (Active)","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-27fce3402296fe784881ba1a5f66a149215c757c","153a9f7c113f692c1b3663e4f207a0f9cb26d59a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-f3805f5d443ef332bf5bd8ed2a0bbee03a9f18d0"
"CROWS-LP A and B Kits & ICDU upgrade","","","","315","150","150","150","1055","145","145","150","","","","","44.516","13.403","13.403","13.67","113.495","13.563","13.834","14.509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-f2ce68e54582cd46d1152087da09c5bfffb1f5d5","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-1-7842c1b5b6b475b248e91505bfa8e7d102ecd5c0"
"VEM","","","","45","60","60","60","335","55","55","60","","","","","5.758","7.828","7.828","7.984","45.121","7.465","7.614","8.472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-1-edc4a5461656e2e98e0540425bb8836d90cc5227","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-1-7842c1b5b6b475b248e91505bfa8e7d102ecd5c0"
"Ammunition Data Link (ADL)","","","405","","60","60","150","1055","145","145","150","","","","59.281","","2.153","2.153","19.693","142.223","19.9","20.298","20.898","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-2-d28f3b7cd90a0a2d98c7b7aaff91e1c2f0422161","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-1-7842c1b5b6b475b248e91505bfa8e7d102ecd5c0"
"Maintenance Support Device Hard Drive","","","","","0","0","0","0","0","0","0","","","","","","0.51","0.51","0.027","0.62","0.027","0.028","0.028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-3-7c9398a8ce1a60acba500c72b25eb43fbdd4d16d","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-1-7842c1b5b6b475b248e91505bfa8e7d102ecd5c0"
"Safety/Operational Mods","","0","","","","","","0","","","","","","23.45","","","","","","23.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-4-f9c2066c8e1031dd977d6ad3ab147f4852784cf7","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-1-7842c1b5b6b475b248e91505bfa8e7d102ecd5c0"
"Support Equipment and TPF","","0","0","0","0","0","0","0","0","0","0","","","51.633","9.856","14.683","17.063","17.063","17.404","164.967","17.752","18.107","18.469","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-5-235745174703d2ade073825b1a57ec8cecc62577","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-1-7842c1b5b6b475b248e91505bfa8e7d102ecd5c0"
"Mine Plow and Roller kit","","","","","","","36","144","36","36","36","","","","","","","","0.657","2.709","0.67","0.684","0.698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-6-2946f9501444f8bbc6af74acd0bad5bfb3aed544","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-1-7842c1b5b6b475b248e91505bfa8e7d102ecd5c0"
"ECP 1a Modification Kits","","","","45","60","60","60","1611","55","55","60","1276","","","","120.586","166.006","166.006","171.542","5595.742","162.316","166.655","185.609","4623.028","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-34e5399cef47994c6ace93e74d0acb0d83d79900","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-2-42520cabd2b9d0689cd5f066d7008475dae9b539"
"Armor Sets","","90","24","","","","","114","","","","","","126.48","34","","","","","160.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-02d7b17ee51e8de4d9242663107eb60a5c2d8618","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-3-53874bd6c8a1ddee97b97f9ca53452fc2a25df12"
"Next Generation Armor","","","","45","60","60","60","1611","55","55","60","1276","","","","68.27","73.134","73.134","74.09","3161.09","70.368","76.504","85.856","2712.868","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-1-241464f4f14251ad36e38524336713854ac42ddb","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-3-53874bd6c8a1ddee97b97f9ca53452fc2a25df12"
"System Technical Support","","0","0","0","0","0","0","0","0","0","0","0","","174.468","49.429","65.263","56.284","56.284","55.733","2154.362","52.792","50.949","52.081","1597.363","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-f99cbea02f6ec7d84080cc9a80e982ce1586d1f1","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-4-c07f791995652da99c61c2b63ce0c5f8d3812ff8"
"Government Program Support","","0","0","0","0","0","0","0","0","0","0","0","","41.203","49.019","31.774","31.944","31.944","32.239","1868.94","32.533","33.093","34.011","1583.124","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-1-38f88d795e7ad1c9024fd4b0f3b249256a789c7a","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-4-c07f791995652da99c61c2b63ce0c5f8d3812ff8"
"Contractor Program Support","","0","","0","0","0","0","0","0","0","0","0","","10.609","","2.217","2.26","2.26","2.305","123.982","2.351","2.398","2.446","99.396","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-2-3a27b0378ea0c9865cfc9144926e127a7c299086","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-4-c07f791995652da99c61c2b63ce0c5f8d3812ff8"
"Government Test Support","","0","0","0","0","0","0","0","0","0","0","0","","2.942","2.969","8.973","17.858","17.858","18.435","288.548","16.814","11.918","15.815","192.824","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-3-bf1ad2315561060184ae841e0e35495355dee8e4","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-4-c07f791995652da99c61c2b63ce0c5f8d3812ff8"
"System Technical Support","","0","0","0","0","0","0","0","0","0","0","","","75.837","9.658","14.895","14.303","14.303","11.147","154.664","10.18","9.194","9.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-ee15d6973601175ef72650e5524cc55cbe4e7045","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-5-caf63a1197c60e0255938cb0418d8bc73688e2f0"
"Training Equipment Modifications","","0","0","0","0","0","0","0","0","0","0","","","104.227","10.463","13.706","19.613","19.613","29.925","240.498","17.369","19.284","25.911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-8816dd183ece766938ca6af46a2a2d4362b2bfc4","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-6-b3a1f0bf8fae28d95bd93d462724efcc49c570db"
"Production Line Optimization","","","0","0","0","0","0","0","0","0","0","","","","12.348","40.298","14.031","14.031","20.375","150.45","22.848","21.095","19.455","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-df2f2666978a0779de072dc97dc9262b3f27f9c0","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-7-5c1788fda70f2a463683564a2a6838b6039a9f53"
"Interim Contractor Support","","0","","","","","","0","","","","","","9.014","","","","","","9.014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18f4e4c047fe0159362d16465046570fea849f9a-0-73951586eefc77ee3881e40e7599c6195dfb06a0","18f4e4c047fe0159362d16465046570fea849f9a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","18f4e4c047fe0159362d16465046570fea849f9a-3-dff66d82895ec982c37f5548ee3d3225e831ab08"
"Systems Engineering","","0","","","","","","0","","","","","","2.656","","","","","","2.656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18f4e4c047fe0159362d16465046570fea849f9a-1-d85329701c4b2edfcff76ff1906bc0cc7c0a736d","18f4e4c047fe0159362d16465046570fea849f9a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","18f4e4c047fe0159362d16465046570fea849f9a-3-dff66d82895ec982c37f5548ee3d3225e831ab08"
"Retrofit and Composite Fielding Activiti","","0","0","0","0","0","0","0","0","0","0","","","5.909","6.358","3.454","3.522","3.522","3.553","28.153","1.459","1.549","2.349","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18f4e4c047fe0159362d16465046570fea849f9a-0-e8ca585df425d597341cc38a702d3c19082dfb10","18f4e4c047fe0159362d16465046570fea849f9a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","18f4e4c047fe0159362d16465046570fea849f9a-4-b8a9ed47f25ee9986bf2aa60af35cddec2f3eb00"
"Engineering Change Orders","","0","","","","","","0","","","","","","2.443","","","","","","2.443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18f4e4c047fe0159362d16465046570fea849f9a-1-806a1f119ade1d8686a4b6f882f4c6a27fac93bd","18f4e4c047fe0159362d16465046570fea849f9a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","18f4e4c047fe0159362d16465046570fea849f9a-4-b8a9ed47f25ee9986bf2aa60af35cddec2f3eb00"
"Software Engineering","","0","0","0","0","0","","0","0","0","0","","","1.842","1.998","2.49","1.76","1.76","","10.392","1.52","0.5","0.282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18f4e4c047fe0159362d16465046570fea849f9a-0-f986d1d8928c487dab7cde41828f2fb974cc5fe0","18f4e4c047fe0159362d16465046570fea849f9a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","18f4e4c047fe0159362d16465046570fea849f9a-5-60f08810082a75b92bb0b7d9c96df6fc92730328"
"1.1.1) Tech Directive Implementation - Organic","","","","","","","","","","","","","","0.225","0.025","0.025","0.025","0.025","0.025","0.4","0.025","0.025","0.025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1ce1b5f43226c20a587333371e1785c24dd29276-0-8f1c54c7b98c8dbf03e7c4cab5c5c7ea1dedffec","1ce1b5f43226c20a587333371e1785c24dd29276","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1ce1b5f43226c20a587333371e1785c24dd29276-0-4d8e150cd170d3af094181da4b8df5e3db2d181f"
"1.1.2) Archived Cost Elements - Organic","","","","","","","","","","","","","","17.478","","","","","","17.478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1ce1b5f43226c20a587333371e1785c24dd29276-1-2b3f45a1f128c88954f74126d50577f06136eb5f","1ce1b5f43226c20a587333371e1785c24dd29276","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1ce1b5f43226c20a587333371e1785c24dd29276-0-4d8e150cd170d3af094181da4b8df5e3db2d181f"
