"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_AllPriorYears_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","","","","","","","0.802","","","","","","","","","","","","09261d3bb29059407d88e75e6ac84000df6e7dd5-0-8b12b4b32407882a37fb5dff80d3ff4fd5ab16f1","09261d3bb29059407d88e75e6ac84000df6e7dd5","root","09261d3bb29059407d88e75e6ac84000df6e7dd5-d0e30d009067eeab84e6973543cf486d65985f43"
"Army Active","","0.886","","","","0.886","1","2.142","85","8.088","","3.199","","3.789","","","","","","096cad097588b1b823c750783ed135e380750b6c-0-f961f029165262b1abdc878a9f136f89c4b21fb6","096cad097588b1b823c750783ed135e380750b6c","root","096cad097588b1b823c750783ed135e380750b6c-756572c1c1569bbc366be0f9d0dceede05dbf31e"
"Army National Guard","","2.141","","","","2.141","","1.17","51","4.394","","1.485","","1.57","","","","","","096cad097588b1b823c750783ed135e380750b6c-1-54ece60af96ed1126418619a25db4383cbd95b23","096cad097588b1b823c750783ed135e380750b6c","root","096cad097588b1b823c750783ed135e380750b6c-756572c1c1569bbc366be0f9d0dceede05dbf31e"
"Air Force Active","","5.219","","","","5.219","","0.206","","0.243","","0.629","","0.506","","0.26","0.265","","2.744","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-e701d5062a64a3d986bb0d721e1fda5ae72e8893","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-ba8104839ea8c0b465b3c6a85f5109050f96f605"
"Air National Guard","","0.6","","","","0.6","","0.000","","","","1.5","","0.6","","","","","","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-1-37cc42c4e401a5e774c20195f721dcad30f9b4ef","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-ba8104839ea8c0b465b3c6a85f5109050f96f605"
"Air Force Reserve","","0.3","","","","0.3","","0.000","","","","1.2","","1.2","","","","","","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-2-460ec04b41fd22dd9ba5ac226d927e00b655ee5b","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-ba8104839ea8c0b465b3c6a85f5109050f96f605"
"Navy Active","","24.18","","","","24.18","","10.908","","14.507","","28.483","","37.951","","25.791","29.266","","","0dfe466f86bc225be6506ead84c1fc591b5f9ab3-0-97fefb084a49865b5faf3ad8ad69a3e60bf1ded1","0dfe466f86bc225be6506ead84c1fc591b5f9ab3","root","0dfe466f86bc225be6506ead84c1fc591b5f9ab3-840c38ab34f28c6f0851eb2caa3603035f4ab7f0"
"Navy Reserve","","1.577","","","","1.577","","0.144","","1.12","","1.815","","2.059","","2.094","2.694","","","0dfe466f86bc225be6506ead84c1fc591b5f9ab3-1-c2cb84e989fd91dc36a0576fabe569b16968b579","0dfe466f86bc225be6506ead84c1fc591b5f9ab3","root","0dfe466f86bc225be6506ead84c1fc591b5f9ab3-840c38ab34f28c6f0851eb2caa3603035f4ab7f0"
"Air Force Active","","6.627","","","","6.627","","5.28","","5.449","","7.672","","2.829","","2.657","2.705","","157.844","0f135173a8262265894a5e50301279dfc3561c0e-0-ff965f051d7409b4c798cb69161700c23ad3a201","0f135173a8262265894a5e50301279dfc3561c0e","root","0f135173a8262265894a5e50301279dfc3561c0e-1ac5e11670736838807d0eef08bc2eed8583447a"
"Air Force Active","","30","","","","30","","","","0.000","","32.7","","21.801","","10","10.18","","","0f62486a86689d13a2561e5c4624b5c569c1eda9-0-0094a5636b5465ac2f41d82856c0969a610612c4","0f62486a86689d13a2561e5c4624b5c569c1eda9","root","0f62486a86689d13a2561e5c4624b5c569c1eda9-8318206b9c6c05f6eb45d85073e74e253c0b58ea"
"Army Active","","9.256","","","","9.256","","8.236","","2.434","","34.7","","48.652","","48.389","25","","","10d54a0d84170ac3d538906f6b2beeaf19601aba-0-45abc88d539c50c14da1244bd31e603fc16f5b61","10d54a0d84170ac3d538906f6b2beeaf19601aba","root","10d54a0d84170ac3d538906f6b2beeaf19601aba-eb169c184d9fb02d9474d2e2a249a85cd673ec48"
"Army National Guard","","2.315","","","","2.315","","","","0.032","","14.794","","0.848","","","24.2","","","10d54a0d84170ac3d538906f6b2beeaf19601aba-1-de6490506a33a62606bbd690ce64857d56e67f98","10d54a0d84170ac3d538906f6b2beeaf19601aba","root","10d54a0d84170ac3d538906f6b2beeaf19601aba-eb169c184d9fb02d9474d2e2a249a85cd673ec48"
"Army Active","13","6.015","","","13","6.015","","","","","","","","","","","","","","10fb772d4fe52e017fdb251ba396941aae4746d4-0-c4006c8da40721047e42117b3ab4c14219c66e14","10fb772d4fe52e017fdb251ba396941aae4746d4","root","10fb772d4fe52e017fdb251ba396941aae4746d4-c339f66a535cac4f461c8c9e7be934afc353bab4"
"Army National Guard","57","26.063","","","57","26.063","","","","","","","","","","","","","","10fb772d4fe52e017fdb251ba396941aae4746d4-1-0b16b31f8fbc3a49a79b4ff56ae34e4f7c575454","10fb772d4fe52e017fdb251ba396941aae4746d4","root","10fb772d4fe52e017fdb251ba396941aae4746d4-c339f66a535cac4f461c8c9e7be934afc353bab4"
"Army Reserve","39","18.044","","","39","18.044","","","","","","","","","","","","","","10fb772d4fe52e017fdb251ba396941aae4746d4-2-a954ffd47d1d11b626df8c908bb31b0113949b28","10fb772d4fe52e017fdb251ba396941aae4746d4","root","10fb772d4fe52e017fdb251ba396941aae4746d4-c339f66a535cac4f461c8c9e7be934afc353bab4"
"Navy Active","","33.69","","","","33.69","","52.172","","43.215","","27.368","","20.711","","21.357","21.755","","","1268e6eb5e9f82a93e5fa10329f1775cef6ec9bd-0-16944817a9f061f1463dfa7ee195deabe144146b","1268e6eb5e9f82a93e5fa10329f1775cef6ec9bd","root","1268e6eb5e9f82a93e5fa10329f1775cef6ec9bd-06619a2964ef0453b2df98056498735a1c3c750f"
"Navy Reserve","","4.756","","","","4.756","","","","4.825","","3.355","","2.43","","2.473","2.518","","","1268e6eb5e9f82a93e5fa10329f1775cef6ec9bd-1-1381d27191742a730c2d2cc771bfb97d5c30dcb5","1268e6eb5e9f82a93e5fa10329f1775cef6ec9bd","root","1268e6eb5e9f82a93e5fa10329f1775cef6ec9bd-06619a2964ef0453b2df98056498735a1c3c750f"
"Army Active","196","22.873","","","196","22.873","252","28.747","88","17.335","209","25.175","137","16.8","140","17.05","19.778","153","","127b70b4f17cd261a9ba65bfe8ded23fab45ab5e-0-8e68a4150aa40bcbb1a75f94b412519b576bef0b","127b70b4f17cd261a9ba65bfe8ded23fab45ab5e","root","127b70b4f17cd261a9ba65bfe8ded23fab45ab5e-1a1fc8a6d40ca45f9d84a63de001dab0dc61bcdf"
"Army National Guard","299","36.086","","","299","36.086","246","27.528","112","19.355","272","33.275","255","31.305","298","37.996","29.301","225","","127b70b4f17cd261a9ba65bfe8ded23fab45ab5e-1-b82d5e84741f413988502969bcdeb85ef88dd549","127b70b4f17cd261a9ba65bfe8ded23fab45ab5e","root","127b70b4f17cd261a9ba65bfe8ded23fab45ab5e-1a1fc8a6d40ca45f9d84a63de001dab0dc61bcdf"
"Army Reserve","13","1.653","","","13","1.653","48","19.182","11","1.695","39","4.914","140","18.154","51","6.95","6.959","50","","127b70b4f17cd261a9ba65bfe8ded23fab45ab5e-2-44c0ae4eb18dc0de516873487a717fdcb8b9d191","127b70b4f17cd261a9ba65bfe8ded23fab45ab5e","root","127b70b4f17cd261a9ba65bfe8ded23fab45ab5e-1a1fc8a6d40ca45f9d84a63de001dab0dc61bcdf"
"Army Active","","5.11","","","","5.11","","26.923","","103.245","","4.82","","4.279","","4.354","4.354","","","135b0562f98df089fa0b13aed33f57b8a5e527bb-0-cb868bf0ec36aeec17237cdde0162529b6f005e9","135b0562f98df089fa0b13aed33f57b8a5e527bb","root","135b0562f98df089fa0b13aed33f57b8a5e527bb-241fd09c7242886593e923f6e24aa59c5cf7fcf3"
"Army Active","","","","","","","","","","8","617","32.762","","","","","","","","1451a87264e0cc246671e7e5c20912d4f4664422-0-14c5f7d04fedb283eb4ee0f4dd8f78da10220a1a","1451a87264e0cc246671e7e5c20912d4f4664422","root","1451a87264e0cc246671e7e5c20912d4f4664422-bf3348b30edbc7a1b7a709aa7ef0aacf9413a6bb"
"Army Reserve","323","61.096","","","323","61.096","280","28.266","1540","28.781","260","46.404","1658","56.494","1509","38.794","26","1795","","1451a87264e0cc246671e7e5c20912d4f4664422-1-35f09a9cc56e71bda116bb29e4bc863f9e3a2aec","1451a87264e0cc246671e7e5c20912d4f4664422","root","1451a87264e0cc246671e7e5c20912d4f4664422-bf3348b30edbc7a1b7a709aa7ef0aacf9413a6bb"
"Army Active","74","44.252","","","74","44.252","","0.188","","18.035","130","65.007","96","53.079","100","54.096","","","","14af2d7370321b9766effea6b1bbd9b701b2e7ac-0-92bf651e25996ca32788a3f58ad6b5d74d3fc26d","14af2d7370321b9766effea6b1bbd9b701b2e7ac","root","14af2d7370321b9766effea6b1bbd9b701b2e7ac-71e1ccb7db2120d9437e4466866c8060bba7bda5"
"Army National Guard","","","","","","","413","184.163","","","15","7.016","36","16.9","23","11.732","","","","14af2d7370321b9766effea6b1bbd9b701b2e7ac-1-a9396e71f013b67cd0b72b969aaa234e5650e2db","14af2d7370321b9766effea6b1bbd9b701b2e7ac","root","14af2d7370321b9766effea6b1bbd9b701b2e7ac-71e1ccb7db2120d9437e4466866c8060bba7bda5"
"Army Reserve","","","","","","","151","67.316","","","7","3.342","37","16.9","16","7.05","","","","14af2d7370321b9766effea6b1bbd9b701b2e7ac-2-79d6faef623b34f2c2efe737c7e4a336484e9eb5","14af2d7370321b9766effea6b1bbd9b701b2e7ac","root","14af2d7370321b9766effea6b1bbd9b701b2e7ac-71e1ccb7db2120d9437e4466866c8060bba7bda5"
"Army Active","57","1.827","","","57","1.827","","7.352","125","2.626","138","4.415","123","4.314","101","3.619","2.763","76","","150c01975379add4d11761f36b0d99775ddba471-0-de31a1e13dc5d8d9365d9bd0ec73cfa159e82a57","150c01975379add4d11761f36b0d99775ddba471","root","150c01975379add4d11761f36b0d99775ddba471-e44f1caa94a0e8c9f6d9d50429d167e7f5b8a040"
"Army National Guard","10","0.339","","","10","0.339","","","37","0.776","35","1.112","","","","","0.817","22","","150c01975379add4d11761f36b0d99775ddba471-1-3d00be0cf579876a21cda58aa78d6c2cb6e18f2f","150c01975379add4d11761f36b0d99775ddba471","root","150c01975379add4d11761f36b0d99775ddba471-e44f1caa94a0e8c9f6d9d50429d167e7f5b8a040"
"Army Reserve","3","0.105","","","3","0.105","","","14","0.296","9","0.254","7","0.246","6","0.207","0.311","9","","150c01975379add4d11761f36b0d99775ddba471-2-bba4518ba3a9d0a516d4b2111f923f8cb0485453","150c01975379add4d11761f36b0d99775ddba471","root","150c01975379add4d11761f36b0d99775ddba471-e44f1caa94a0e8c9f6d9d50429d167e7f5b8a040"
"Air Force Active","","9.313","","","","9.313","","89.177","","9.257","","8.847","","9.446","","6.444","6.56","","474.903","159534d0b57648a4377405fd524fece23ff28718-0-210076058e40e30a21b8e5139cc5d27d506caff7","159534d0b57648a4377405fd524fece23ff28718","root","159534d0b57648a4377405fd524fece23ff28718-40b823532ebb03efb6ad4023ae705e509e7a831a"
"Air Force Active","","0.128","","","","0.128","","0.123","","0.126","","0.133","","0.136","","0.137","0.139","","2.697","15bbc66c0362614598006152b9fef3dcc84e826c-0-69dde28796cb3e34a0aae0f4c4a23f64db615ccd","15bbc66c0362614598006152b9fef3dcc84e826c","root","15bbc66c0362614598006152b9fef3dcc84e826c-66c1d66f3470ad6e4ed7a285d0bbcced21158c59"
"Army Active","","","","","","","9","112.8","16","183.9","","","","","","","","","","16669bca6d0fa10796f8b021c2df4a7eea299776-0-4928d147d3636f5b0766cbc0456ee46082bb1979","16669bca6d0fa10796f8b021c2df4a7eea299776","root","16669bca6d0fa10796f8b021c2df4a7eea299776-95b7d70c30326e5472cf3ef9187dc9160f09e632"
"Army Active","2","21.563","","","2","21.563","","4.911","1","6.727","2","20.966","2","21.957","1","17.796","15.275","","","182e4ebe379e11f349d44d12901f292d0560b167-0-3c576cec70d88bff778a56969bfbeb4cfa8a3bae","182e4ebe379e11f349d44d12901f292d0560b167","root","182e4ebe379e11f349d44d12901f292d0560b167-3451bc034f1fdd22698445f125202d43f62149b8"
"Army National Guard","","8.496","","","","8.496","","2.865","","3.341","","8.147","","8.724","","8.339","8.911","","","182e4ebe379e11f349d44d12901f292d0560b167-1-91e1cb9bc30b2b11607a6792599926ad6aa8da28","182e4ebe379e11f349d44d12901f292d0560b167","root","182e4ebe379e11f349d44d12901f292d0560b167-3451bc034f1fdd22698445f125202d43f62149b8"
"Army Reserve","","4.854","","","","4.854","","1.637","","1.909","","4.655","","4.986","","4.765","5.092","","","182e4ebe379e11f349d44d12901f292d0560b167-2-23aa835b88cdce4ec4b3c3e5516859df126184e3","182e4ebe379e11f349d44d12901f292d0560b167","root","182e4ebe379e11f349d44d12901f292d0560b167-3451bc034f1fdd22698445f125202d43f62149b8"
"Army Active","5547","81.68","","","5547","81.68","2558","63.5","5226","103.317","8697","100.724","10232","103.416","3008","50.246","50.298","3911","","18bdc8af15ef4912dca17c007c49d6a3c6f7c354-0-6d4ea5c33664da994bd81eff7f2890d6fcff9438","18bdc8af15ef4912dca17c007c49d6a3c6f7c354","root","18bdc8af15ef4912dca17c007c49d6a3c6f7c354-63d9e253e6a658ec93807a30221ce4434eee2ce4"
"Army Active","","","","","","","","3.958","","","","","","","","","","","","19492a487edbaa1824279ebc608bbaea8534e5f2-0-aa08d1f10c33854b20ac5f3934c62c8e5bd03624","19492a487edbaa1824279ebc608bbaea8534e5f2","root","19492a487edbaa1824279ebc608bbaea8534e5f2-7f19d99649c12fc8271edc166c0f012d375f0f1c"
"Army National Guard","","","","","","","","","","7.98","","","","","","","","","","19492a487edbaa1824279ebc608bbaea8534e5f2-1-d2b03da9ccab876eea088b870ee66b18798ce53d","19492a487edbaa1824279ebc608bbaea8534e5f2","root","19492a487edbaa1824279ebc608bbaea8534e5f2-7f19d99649c12fc8271edc166c0f012d375f0f1c"
"Army Active","","0.786","","","","0.786","","3.994","","0.979","","","","","","","","","","1a6f340592bd9ae05187f4b5c5d43a6b44f2f5d1-0-c468b577786e12c4561fc6dfe5133cdb39433aad","1a6f340592bd9ae05187f4b5c5d43a6b44f2f5d1","root","1a6f340592bd9ae05187f4b5c5d43a6b44f2f5d1-12392b2838fb09f9dbd8a8b516e4d7007c92572d"
"Army Active","","53.559","","","","53.559","","331.23","","178.805","","325.213","","246.335","","247.267","264.314","","","1aa885ee8183e01a1ba2f1ddaea1851d58d1a088-0-971ba6e1d4e0844e2145d9eb38f2981422065cc7","1aa885ee8183e01a1ba2f1ddaea1851d58d1a088","root","1aa885ee8183e01a1ba2f1ddaea1851d58d1a088-bcdb85e1b75db1b19a8c29d5eec1a1982b665fb4"
"Army Active","","45.841","","","","45.841","","62.746","","77.381","","16.347","","14.08","","0.008","2.92","","","1ad67ac708592d2c1a4c12eaf9efaddbe1150b8e-0-ff99451d4ffcf5a0e5d79e4782b841f4a865acfc","1ad67ac708592d2c1a4c12eaf9efaddbe1150b8e","root","1ad67ac708592d2c1a4c12eaf9efaddbe1150b8e-8bcf88adc491dfe2e9d9e9175364552f3e68ea3d"
"Army Active","","4.464","","","","4.464","907","108.966","161","30.501","","21.445","","19.237","","14.998","15.045","","","1b260ae420b7b52e1cef499d144639419f0f6ccd-0-6796bb26b0d0c64a9ce90c7049bdd937f3a44a38","1b260ae420b7b52e1cef499d144639419f0f6ccd","root","1b260ae420b7b52e1cef499d144639419f0f6ccd-7cb4eeeee862a98ac443487debdd085905026d3f"
"Navy Active","","28.676","","","","28.676","","52.275","","57.942","","21.502","","17.347","","5.702","5.799","","","1b51bb40558fe788898a5b73f32c4d041d741570-0-d34d9eee535b2831d6055b3d06654efcbe3a17c8","1b51bb40558fe788898a5b73f32c4d041d741570","root","1b51bb40558fe788898a5b73f32c4d041d741570-d0b4acf8f37019ba20eee334bd366aa0058a7d67"
"Navy Reserve","","18.911","","","","18.911","","19.027","","19.097","","22.133","","22.466","","21.879","22.26","","","1b51bb40558fe788898a5b73f32c4d041d741570-1-3fe4709b24ec81dab3f2406fb09943e8a4f9f4e4","1b51bb40558fe788898a5b73f32c4d041d741570","root","1b51bb40558fe788898a5b73f32c4d041d741570-d0b4acf8f37019ba20eee334bd366aa0058a7d67"
"Air Force Active","","4.16","","","","4.16","","12.457","","2.669","","0.000","","0.000","","0.000","0.000","","","1c5019aa87e3386a55afd5d3ae02ac0c7aa7353c-0-514418e540c0b600a51f932682688591693e9428","1c5019aa87e3386a55afd5d3ae02ac0c7aa7353c","root","1c5019aa87e3386a55afd5d3ae02ac0c7aa7353c-d5c56517731df7adb4a89e11fbf3b503218e41ff"
"Air National Guard","","1.709","","","","1.709","","3.32","","0.000","","0.000","","0.000","","0.000","0.000","","","1c5019aa87e3386a55afd5d3ae02ac0c7aa7353c-1-2faf93d98226029cbe7fdcc8e0132f27a05c50ac","1c5019aa87e3386a55afd5d3ae02ac0c7aa7353c","root","1c5019aa87e3386a55afd5d3ae02ac0c7aa7353c-d5c56517731df7adb4a89e11fbf3b503218e41ff"
"Air Force Reserve","","0.276","","","","0.276","","0.778","","0.000","","0.000","","0.000","","0.000","0.000","","","1c5019aa87e3386a55afd5d3ae02ac0c7aa7353c-2-19054728870b81822f7a6c4cf00efaaf833d0206","1c5019aa87e3386a55afd5d3ae02ac0c7aa7353c","root","1c5019aa87e3386a55afd5d3ae02ac0c7aa7353c-d5c56517731df7adb4a89e11fbf3b503218e41ff"
"Army Active","","5.7","","","","5.7","","","","","","","","","","","","","","1d30edc889a85d1d73fa70ca767f910112b4720a-0-a9af31d337b53944e284ac34454acc3a205b401e","1d30edc889a85d1d73fa70ca767f910112b4720a","root","1d30edc889a85d1d73fa70ca767f910112b4720a-3a79c436018eb4566bc09f5fd45b27ce9bc8dea4"
"Army Active","2","38.007","","","2","38.007","","","","","","10.64","2","20.05","4","32.496","41.025","6","","1dac81af65caaa4cd060718a290b85939a54dde9-0-d151dcd678b6ab9a029737b4b28d4addc6632748","1dac81af65caaa4cd060718a290b85939a54dde9","root","1dac81af65caaa4cd060718a290b85939a54dde9-080d62b11b9a32cd9044f926c37eb543364938b1"
"Army Reserve","","","","","","","","","","","","","2","20.05","","","","","","1dac81af65caaa4cd060718a290b85939a54dde9-1-3baf17e7147283211bbfce398905ae987e2ac5e2","1dac81af65caaa4cd060718a290b85939a54dde9","root","1dac81af65caaa4cd060718a290b85939a54dde9-080d62b11b9a32cd9044f926c37eb543364938b1"
"Army Active","","0.6","","","","0.6","","2.597","","","","1.4","","0.9","","","","","","1e0a56d0528959c3e951defa3adfc385792c103d-0-9de17b2ff1bc3816ff5e9a9f83edb338d1168b85","1e0a56d0528959c3e951defa3adfc385792c103d","root","1e0a56d0528959c3e951defa3adfc385792c103d-047d9c96e4a4bf67f9b0793effb439c6b7f7fd60"
"Army National Guard","","0.2","","","","0.2","","1.298","","","","1.05","","0.65","","","","","","1e0a56d0528959c3e951defa3adfc385792c103d-1-17d1b5e7c07132608c6c4088da75e65d3a662e2f","1e0a56d0528959c3e951defa3adfc385792c103d","root","1e0a56d0528959c3e951defa3adfc385792c103d-047d9c96e4a4bf67f9b0793effb439c6b7f7fd60"
"Navy Active","219","36.175","","","219","36.175","15","2.527","","29.158","","0.876","","0.934","","0.95","0.948","","","206a657988bfd857452c60b20d67e0b5695b7b5c-0-14043f31d2d803768592b131569572b46aa49da3","206a657988bfd857452c60b20d67e0b5695b7b5c","root","206a657988bfd857452c60b20d67e0b5695b7b5c-eb60d5371140a8b6f55ac0cf367e78f1c10e98fb"
"Navy Reserve","","","","","","","","","","","","0.175","","0.134","","0.146","0.158","","","206a657988bfd857452c60b20d67e0b5695b7b5c-1-83df6ccf1bf410f6e13a9c11062ce21d689b51d6","206a657988bfd857452c60b20d67e0b5695b7b5c","root","206a657988bfd857452c60b20d67e0b5695b7b5c-eb60d5371140a8b6f55ac0cf367e78f1c10e98fb"
"Army Active","","1.166","","","","1.166","","38.535","","1.132","","1.198","","","","","","","","209c6bc974b6ed2841f215a04ea22d26468c1ffd-0-fd1e6f6d13c7262dc284250b2cd5ad0262b9b938","209c6bc974b6ed2841f215a04ea22d26468c1ffd","root","209c6bc974b6ed2841f215a04ea22d26468c1ffd-1431c2c7520b2ad5cd07036f6b2b0e7b4fa76c0b"
"Air Force Active","","14.304","","","","14.304","","57.829","","47.616","","26.558","","39.088","","37.462","37.831","","29.17","2146b39417826335bc8c06e6e86906e33c6d1dfd-0-dd6e6d7aefe26a27b5198c66c720316f3382180e","2146b39417826335bc8c06e6e86906e33c6d1dfd","root","2146b39417826335bc8c06e6e86906e33c6d1dfd-9c4a8bf58281b7f35ebd0642bbc89a6805828438"
"Air Force Active","","6.888","","","","6.888","","14.946","","13.62","","16.261","","3.086","","","","","84.075","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-0-253dfea860b086d3077654ddc2750e54e9fb95c7","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f","root","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-a66284f03384cee65ce9b9938ab9dede91b51375"
"Air Force Active","","0.263","","","","0.263","","0.387","","11.185","","0.582","","7.715","","10.699","10.891","","1.356","21aefc9e2a47ff90a8b64aaa38c2d2aed97b0b8c-0-aca19c384a7886f20b3d46ae58a07a46f62ff576","21aefc9e2a47ff90a8b64aaa38c2d2aed97b0b8c","root","21aefc9e2a47ff90a8b64aaa38c2d2aed97b0b8c-25c6631760ad33339746cec765aa76cb2c53bffd"
"Army Active","","","","","","","","","","7.097","","","","","","","","","","23417fc885cf1a7cff29eebc4c95caafe367cedf-0-7089c626078f2c0e3b2874f871971c26997a2476","23417fc885cf1a7cff29eebc4c95caafe367cedf","root","23417fc885cf1a7cff29eebc4c95caafe367cedf-547a8864533bd90e23ae7f0307ecf5132e92460b"
"Army National Guard","40","6.841","","","40","6.841","","","","","1","0.162","","0.108","","","","","","23417fc885cf1a7cff29eebc4c95caafe367cedf-1-9d2a3703a143e4ff57873e5270f2f6bc6dbde624","23417fc885cf1a7cff29eebc4c95caafe367cedf","root","23417fc885cf1a7cff29eebc4c95caafe367cedf-547a8864533bd90e23ae7f0307ecf5132e92460b"
"Army Reserve","","","","","","","","0.596","","","","","","","","","","","","23417fc885cf1a7cff29eebc4c95caafe367cedf-2-3589d08b01080c913ccfb8e0807506aa5588cd84","23417fc885cf1a7cff29eebc4c95caafe367cedf","root","23417fc885cf1a7cff29eebc4c95caafe367cedf-547a8864533bd90e23ae7f0307ecf5132e92460b"
"Navy Active","","132.054","","","","132.054","","218.638","","183.994","","135.295","","143.57","","144.96","147.017","","","246698d469f34ba266b63f33235a2db5f2f0e46c-0-92f75f14195f37448bbc878a8f98bd23aebf5f5b","246698d469f34ba266b63f33235a2db5f2f0e46c","root","246698d469f34ba266b63f33235a2db5f2f0e46c-306598988f20cc82a153716eb7e557f3ffcca8d6"
"Navy Reserve","","2.441","","","","2.441","","2","","2.478","","2.499","","2.524","","2.593","2.631","","","246698d469f34ba266b63f33235a2db5f2f0e46c-1-ccb2db46adb7aaafba94dbcd6abdb49cb5a0ebe8","246698d469f34ba266b63f33235a2db5f2f0e46c","root","246698d469f34ba266b63f33235a2db5f2f0e46c-306598988f20cc82a153716eb7e557f3ffcca8d6"
