"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","0.49","","0.085","0.085","","","","","","29","","","4","4","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-6d9eb3b8f011e3f898c2fa04577799ce0d7310b4","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-27-e62605fb82869e48289396be32490c6d744a7611"
"Air Force Reserve","","","0.192","0.192","","","","","","","","","9","9","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-1-ade36912dd2e8ac3cc6d9353ec84d8dfddade64b","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-27-e62605fb82869e48289396be32490c6d744a7611"
"Air Force Active","0.106","","0.176","0.176","","","","","","4","","","6","6","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-c064e2c50b3ca9e2119350d7a9718248e5ccb783","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-28-6aebe4d01c2265c8d8093e98d77e4c7d49dc8bfc"
"Air Force Active","0.174","","0.096","0.096","","","","","","6","","","3","3","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-bf24fdd179b998b7ec07b0af7bade622ed5ad375","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-29-67dd9159d9c4b592f7f80dd250bfb735c0c633e2"
"Air Force Reserve","","","0.096","0.096","","","","","","","","","3","3","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-1-637418cb54f6859786cf9630b0ac27d0ad7bfe1a","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-29-67dd9159d9c4b592f7f80dd250bfb735c0c633e2"
"Air Force Active","0.024","","0.131","0.131","","","","","","1","","","5","5","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-6bc1474702c83b53d20a79c0e20595cf47f39ef3","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-30-c2fb3114a1425b4b0e5822179f4081b4a828b673"
"Air Force Reserve","","","0.262","0.262","","","","","","","","","10","10","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-1-0d13b0df9f8d5cfdd8e732ca157ef4ed14c705a5","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-30-c2fb3114a1425b4b0e5822179f4081b4a828b673"
"Air Force Active","0.22","","0.147","0.147","","","","","","11","","","6","6","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-5d77be627c2c82c398d64931d60929f98f4effc4","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-31-2b65b676eb99d79207d7122de784a50026f040ee"
"Air Force Active","0.03","","0.089","0.089","","","","","","1","","","5","5","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-64190d1c1d9ee23b4b60b1a3ef3cfdfe7c7a272e","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-32-924f5841b6e4ca217e6bb2503e024cc6e7c6bed3"
"Air Force Reserve","","","0.018","0.018","","","","","","","","","1","1","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-1-e5172dbb808aced3d11bb5e7fe2d3ca314895157","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-32-924f5841b6e4ca217e6bb2503e024cc6e7c6bed3"
"Air Force Active","0.03","","0.252","0.252","","","","","","5","","","6","6","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-158ddb380ee3b12d30043601e00b8c1947786dac","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-33-7a8928126b8d4542600fbdf6cbec8597a13c56df"
"Air Force Active","0.897","","0.156","0.156","","","","","","39","","","6","6","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-46cf8f7cb803300e0097cdf6618f9d0b9e2b365a","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-34-1539c237d240bfe8f6b92d4ee15b006fb061e2e2"
"Air Force Active","0.033","","0.042","0.042","","","","","","1","","","2","2","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-ff0627e3dacde6d9761fff63f20b3fc53113819e","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-35-2b0168cd9650644dbd9b5b39dabd7c8807ed8b96"
"Air Force Reserve","","","0.168","0.168","","","","","","","","","8","8","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-1-e5c115fc0c2efeece4d6f0c30ed53d29001c1f0d","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-35-2b0168cd9650644dbd9b5b39dabd7c8807ed8b96"
"Air Force Active","0.041","","","","","","","","","1","","","","","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-2faab50d4907ada14bc2e3aedad18d9d898f21ce","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-36-752d41ba8ea47f3e156400b9eaa355b12339b3b5"
"Air Force Active","","","0.062","0.062","","","","","","","","","1","1","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-95b59849c1b05ec125d30991278a899ea23cf782","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-38-7b1cb81b9f9fdc5a08c89367c4ad5a10939e447f"
"Air Force Reserve","","","0.311","0.311","","","","","","","","","5","5","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-1-47cedc08c1b909764a68a88742e1cef3e223f9ab","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-38-7b1cb81b9f9fdc5a08c89367c4ad5a10939e447f"
"Air Force Active","0.038","","","","","","","","","2","","","","","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-20d35c6a27f01775eacb2c77c24668d62387f589","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-39-ccde5be1cd5c27295b1675757ad9d0f0ea748bee"
"Air Force Active","0.036","","","","","","","","","2","","","","","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-1f99b3969127cbdb1e3a485e5b81895f35ca30b6","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-40-30a7078cfd01acf55e5f83b62625ac60d9ae79dd"
"Air Force Active","","1.851","","","","","","","","","15","","","","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-2c318ef9a9e87b614a6f5dbd2e7f2a5ab63894f9","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-41-e8013107604b9f2811800cf29a51dac481e5ce02"
"Air Force Active","0.005","0.006","0.006","0.006","","","","","","","","","","","","","","","b00131f9fd6e71e0694eac6ecfee001009506cd6-0-860c55c9a406a432aa5b64add3716db4bea16923","b00131f9fd6e71e0694eac6ecfee001009506cd6","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b00131f9fd6e71e0694eac6ecfee001009506cd6-42-ed519cb32ed353b13c2146f762527738f3d9d755"
"Air Force Active","","","0.275","0.275","","","","","","","","","1","1","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-2e21fdd765806000e7f8a354b29d9701a13670f7","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-0-955ba00807efa4ff6963236176d4d726bba3bed7"
"Air Force Active","0.009","0.019","0.004","0.004","","","","","","","","","","","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-7c4ebc9c84db16c039233f50f2a049b78e67c16d","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-1-9513008ab74acef27cccfb2c2b78493d43f13922"
"Air Force Active","0.432","","","0","","","","","0","36","","","","","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-51b84a8d37e769aae75317c8d7084806a9a605c2","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-2-d5f7ff7b42fc39c0cae49dd473f98df86f74b047"
"Air Force Active","","0.784","","","","","","","","","28","","","","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-7c33c992f4e4152cc9a2602825f429cd990d0a0a","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-3-e0541ea6fb8b5d2785fa821a81143fadaeb0db97"
"Air Force Active","0.762","0.672","1.274","1.274","","","","","0","34","28","","49","49","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-cc7fc1fec953433cc545655754bac8b211676e6b","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-4-298efc46ec34fe3d4d1a7f8468ca6726fade1f90"
"Air National Guard","0.112","","","","","","","","","5","","","","","","","","","b15592c55d69d555f58e948a99f222e44430c099-1-5a77b04f16e2b71d999ba2e6ce2bacde500d6d81","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-4-298efc46ec34fe3d4d1a7f8468ca6726fade1f90"
"Air Force Reserve","","","0.052","0.052","","","","","0","","","","2","2","","","","","b15592c55d69d555f58e948a99f222e44430c099-2-9a8997e17456fea711427e33f3c727468b7529e5","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-4-298efc46ec34fe3d4d1a7f8468ca6726fade1f90"
"Air Force Active","0.22","0.473","","0","","","","","0","6","11","","","","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-ff480324a9bf2c53dfcf783c6a6208b37146ada8","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-5-70b9e869b2e1d554d7f2ef6a9c0e842e976471c2"
"Air Force Active","","","0.675","0.675","","","","","0","","","","5","5","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-836789f8f4178ddfb3ca7666e628ad9de32a38d3","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-6-638dba8d8032c1a5b6e551fb92078ddea5c48530"
"Air Force Active","0.247","0.91","1.099","1.099","","","","","0","2","7","","8","8","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-bce77976a0bd5650898607a4538a7d033915cff1","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-7-5e727d59f2df2d048577d682ec547962fe18c404"
"Air Force Active","","0.9","","","","","","","","","12","","","","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-45111967ae36a0fd1d602a7297801783d590adeb","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-8-7cd2a00c769e548e0a1c617c4b0c0207d122ca77"
"Air Force Reserve","0.057","0.075","","","","","","","","1","1","","","","","","","","b15592c55d69d555f58e948a99f222e44430c099-1-2ac1786867781b7f0b32f60357f5b4cb5b8fc50c","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-8-7cd2a00c769e548e0a1c617c4b0c0207d122ca77"
"Air Force Active","0.093","0.412","2.912","2.912","","","","","","1","4","","28","28","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-95515e9f815c40dae577e762988ea31c50c6b6a6","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-9-1174c0087c359a57c25af42674fb7c94ed123597"
"Air National Guard","","","0.104","0.104","","","","","","","","","1","1","","","","","b15592c55d69d555f58e948a99f222e44430c099-1-d64296e3fc2b8c40245b4a713af418cbef403d9f","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-9-1174c0087c359a57c25af42674fb7c94ed123597"
"Air Force Active","","1.509","0.534","0.534","","","","","","","3","","1","1","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-035a2b3ea5eeb6dc29a7e82a94a5c5d8ae355649","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-10-2fcba829c1616a691ea2f218b8a8011c51f7a523"
"Air Force Active","0.116","0.516","1.778","1.778","","","","","","1","4","","14","14","","","","","b15592c55d69d555f58e948a99f222e44430c099-0-c8f5808bdf2794e75372af025e8a3a7abebfe88f","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-11-4e0ec63b50f5ac59e021be41f0c929a7c304337f"
"Air National Guard","","0.258","0.127","0.127","","","","","","","2","","1","1","","","","","b15592c55d69d555f58e948a99f222e44430c099-1-03f654a8801fb12e5f21a0059f49c8b4c082f8c3","b15592c55d69d555f58e948a99f222e44430c099","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b15592c55d69d555f58e948a99f222e44430c099-11-4e0ec63b50f5ac59e021be41f0c929a7c304337f"
"Air Force Active","","10.965","23.164","32.964","","","","","9.8","","","","","","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-0-14031cd8a8f905b984c5f57fdfa1a94a7eb85547","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-0-bcda30b12b4b64fe9feed35db83fab576c769380"
"Air Force Active","","0.01","0.037","0.037","","","","","0","","","","","","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-0-70b167e05c1cd5f346fc0773c84c35a14133353d","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-1-5e1b0bbd690e29feafea6b41ba60acf1fb50eba5"
"Air Force Active","1.223","3.689","1.874","1.874","","","","","0","1","10","","6","6","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-0-b8b61317fb5d9fc185d68d943c2f65679b15b329","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-2-1532e85af71764dc05ca9dc48fdf933bff024718"
"Air Force Active","","","2.364","2.364","","","","","0","","","","4","4","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-0-30a10b7b8cfe204f4e7c6895154f879d574b301a","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-3-2dd8ec00f81e6081cba9f279d0eadce66575295e"
"Air National Guard","","","","0","","","","","0","","","","","","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-1-e178008008093feaabca47e6d019f066041dccc0","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-3-2dd8ec00f81e6081cba9f279d0eadce66575295e"
"Air Force Reserve","","","0.139","0.139","","","","","0","","","","1","1","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-2-b7b051837c5f796e9432d4bfe5ad7c36595f04c9","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-3-2dd8ec00f81e6081cba9f279d0eadce66575295e"
"Air Force Active","","","0","0","","","","","0","","","","","","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-0-2419ec71a1b551209e5aec76c933831fcd3d200b","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-4-41f1c6ac2a3b569b474be36e5b1710cbcd58a344"
"Air National Guard","","","1.078","1.078","","","","","0","","","","2","2","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-1-ee41c746b404ba98c89866d9138dce40bf4c35f5","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-4-41f1c6ac2a3b569b474be36e5b1710cbcd58a344"
"Air Force Reserve","","","","0","","","","","0","","","","","","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-2-c3bde26e388c9575a4540ebfd388b559d08af925","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-4-41f1c6ac2a3b569b474be36e5b1710cbcd58a344"
"Air Force Active","","","0.176","0.176","","","","","0","","","","1","1","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-0-1aaac698bcb2f74e414cdbbf2509642829d441da","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-5-67f376742e98556776fb7c057bbc8e84c25e34a5"
"Air Force Active","0.3","","","0","","","","","0","1","","","","","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-0-ff428e939db08d8949eba87c000fc73fc47f4fea","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-6-e18b33cabacfa05c2898c9f4f0fc833147a793d9"
"Air Force Active","0.431","1.773","1.645","1.645","","","","","0","","","","","","","","","","b74203b4aeba5712c82474b0e9624c0322f56f80-0-5dffcd3680e305eeee2447e923f6b27415eca1d4","b74203b4aeba5712c82474b0e9624c0322f56f80","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b74203b4aeba5712c82474b0e9624c0322f56f80-7-25e615807593616c910be53d99bbead0d697d9aa"
"Air Force Active","3.911","0.887","0.573","0.573","0.51","0.01","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-3694fffb6167bb726a931a83e6db985e90c8561a","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-0-01425bc11f7d181225a55ce271107bad0a901c44"
"Air National Guard","0.303","0.047","0.026","0.026","0.021","","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-1-19c990254e8d3af6f13c99566071725f0fdcbf83","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-0-01425bc11f7d181225a55ce271107bad0a901c44"
"Air Force Reserve","0.067","0.184","0","0","","","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-2-f36405f5c755ece61ab7fb85c39079e1da54adff","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-0-01425bc11f7d181225a55ce271107bad0a901c44"
"Air Force Active","","0","","","","","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-4908c48f2b1cf9fced13e469ba4aad48adb1a807","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-2-4147a2a54be678bab3f658199df6b74093712d54"
"Air Force Active","2.081","1.001","0.39","0.39","0.483","0.01","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-1c0adcefbe9ae42a619d986c3428eb64d728400d","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-3-8e0fa3a7e25195a803decf7f8b75cc44ae3cff98"
"Air Force Active","0.01","0.01","0.01","0.01","","","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-7606ebda139d575994b245b10c2a8b66a7dbc92a","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-4-604c13ef8189629c2753ac4ff813f504b52775a5"
"Air Force Active","2.233","0.727","0.865","0.865","1.748","2.276","0.1","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-e608531d57f8bc873175b2c28232617a1ad73d23","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-5-f7736362af42e6b05be1f831f027c5fd5c6736c1"
"Air National Guard","","","0.108","0.108","0.515","0.361","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-1-6ee63f676a28502331db3abff43b7ff44a568058","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-5-f7736362af42e6b05be1f831f027c5fd5c6736c1"
"Air Force Reserve","","","0.272","0.272","0.456","0.122","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-2-2b9d2913b6cc19de9435092695f170603566a6da","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-5-f7736362af42e6b05be1f831f027c5fd5c6736c1"
"Air Force Active","2.355","2.929","1.298","1.298","0.543","0.31","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-9cfd1eb003574e22c13331640c5ec706667130c6","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-6-ca9438b6ce2b172fb48e61a393f10844960aafb2"
"Air National Guard","1.72","0.37","0.196","0.196","0.111","","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-1-b7cc16944dde7320b66d20c626d9b2ef2a97a42a","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-6-ca9438b6ce2b172fb48e61a393f10844960aafb2"
"Air Force Reserve","0.431","1.48","0.391","0.391","","","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-2-ee33ab4a5245661f158de9cc75c025c05d22600a","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-6-ca9438b6ce2b172fb48e61a393f10844960aafb2"
"Air Force Active","0.984","0.744","1.127","1.127","0.917","0.406","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-0-07340e78fb012d0d2d48e2445a4d817dd09c1668","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-8-61b7848e3c570abc036e5e11129aa01f84086285"
"Air National Guard","0","0.044","0.066","0.066","0.233","0.22","","","","","","","","","","","","","b899bbf512008b477d2766328b2a6697fb35d35b-1-eed1859280561e93d6bdcf99bc9f59b3dcaad489","b899bbf512008b477d2766328b2a6697fb35d35b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","b899bbf512008b477d2766328b2a6697fb35d35b-8-61b7848e3c570abc036e5e11129aa01f84086285"
