"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","11","258.658","10","189.32","17","83.01","5","8.132","0","0.000","5","8.132","18","7.938","29","7.534","15","8.493","5","5.592","9dd5c833a9006fb3270153c2362e25e05dd0bbaf-0-0fcbec47a26eb71fec89e3094480e2b4224a3755","9dd5c833a9006fb3270153c2362e25e05dd0bbaf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9dd5c833a9006fb3270153c2362e25e05dd0bbaf-0-139abc6b7c411e1c9c05794e91025af287d538cd"
"Air Force Active","0","0.000","0","0.000","0","0.552","0","12.404","0","0.000","0","12.404","0","22.098","0","7.495","0","8.186","0","9.248","a6c04085369658f15474f3c1a6a8dcd27adbdf87-0-a52973d1097dc3a4497a7ba07afcc17c7f2b7526","a6c04085369658f15474f3c1a6a8dcd27adbdf87","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a6c04085369658f15474f3c1a6a8dcd27adbdf87-0-5d176f353053978ea4384d5c093f8d2c78400336"
"Air National Guard","0","0.000","0","0.000","0","0.000","6","26.28","0","0.000","6","26.28","2","10.95","2","9.802","2","9.811","1","6.201","a6c04085369658f15474f3c1a6a8dcd27adbdf87-1-ce8fb26b9d5a2740f374650c562d750db44cfa03","a6c04085369658f15474f3c1a6a8dcd27adbdf87","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a6c04085369658f15474f3c1a6a8dcd27adbdf87-0-5d176f353053978ea4384d5c093f8d2c78400336"
"Air Force Active","0","0.000","0","0.000","0","3.001","0","1.539","0","0.000","0","1.539","0","0.483","0","0.000","0","0.000","0","0.000","a6c04085369658f15474f3c1a6a8dcd27adbdf87-0-294f0387f3dc119f94ddc6d1212e8f90ffea90ef","a6c04085369658f15474f3c1a6a8dcd27adbdf87","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a6c04085369658f15474f3c1a6a8dcd27adbdf87-0-a432c7a453d1ffc0041f7af05dcde889c762ce39"
"Air National Guard","0","0.000","0","0.000","7","0.874","9","0.882","0","0.000","9","0.882","0","0.000","0","0.000","0","0.000","0","0.000","a6c04085369658f15474f3c1a6a8dcd27adbdf87-1-05506cb1c62ad4aac2a83ac41aaae809e3219fd8","a6c04085369658f15474f3c1a6a8dcd27adbdf87","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a6c04085369658f15474f3c1a6a8dcd27adbdf87-0-a432c7a453d1ffc0041f7af05dcde889c762ce39"
"Air Force Active","0","0.000","0","0.000","0","0.000","1","22.239","1","23.4","2","45.639","1","29.337","1","32.542","1","12.741","1","26.404","aeb09adb59b77ba52640e0b35411484f025af1fd-0-990b0788f6a5eef26dcc565afa90c16da98b247f","aeb09adb59b77ba52640e0b35411484f025af1fd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","aeb09adb59b77ba52640e0b35411484f025af1fd-0-f882e871d267a8ac2c645b1f43e50ee82168bb8e"
"Air Force Active","0","0.000","0","0.000","15","31.454","13","19.454","0","0.000","13","19.454","19","25.89","17","24.924","16","23.75","16","19.799","b32444cd918b9b031e8603a60192752f78862d75-0-641a97ae67c3146a70f71797976f9215e2eacaa1","b32444cd918b9b031e8603a60192752f78862d75","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b32444cd918b9b031e8603a60192752f78862d75-0-af9b0b09ee0ee0e80837ed3f7464c1017516332d"
"Air National Guard","0","0.000","0","0.000","0","0.000","16","11.572","0","0.000","16","11.572","22","15.902","20","14.785","19","14.336","24","18.32","b32444cd918b9b031e8603a60192752f78862d75-1-d7a21d94944a23cef8eb0c1aa18525a86a1cb5c5","b32444cd918b9b031e8603a60192752f78862d75","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b32444cd918b9b031e8603a60192752f78862d75-0-af9b0b09ee0ee0e80837ed3f7464c1017516332d"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","5","3.617","0","0.000","5","3.617","7","5.06","6","4.434","5","3.773","5","3.817","b32444cd918b9b031e8603a60192752f78862d75-2-555e28e7935088894ea73bce6a31943553eef5bf","b32444cd918b9b031e8603a60192752f78862d75","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b32444cd918b9b031e8603a60192752f78862d75-0-af9b0b09ee0ee0e80837ed3f7464c1017516332d"
"Air Force Active","0","0.000","0","3.227","0","0.000","0","8.145","0","0.000","0","8.145","0","7.545","0","0.000","0","0.000","0","0.000","b327130cfc79546df0dba3a09801fedad12be124-0-3e344748a60aa291b25a134f9bc97f842f323d45","b327130cfc79546df0dba3a09801fedad12be124","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b327130cfc79546df0dba3a09801fedad12be124-0-765f418c34b109a1fd14a46dd5903cade574a7e8"
"Air Force Active","0","0.000","0","0.000","7","14.004","9","35.261","0","0.000","9","35.261","14","49.354","19","57.775","11","57.278","9","29.331","b327130cfc79546df0dba3a09801fedad12be124-0-827beac011910f60a61bae49d5e71d91a9b86eef","b327130cfc79546df0dba3a09801fedad12be124","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b327130cfc79546df0dba3a09801fedad12be124-0-c5cdf928f240f8bfe6bd420dd937880ec33a0077"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","b327130cfc79546df0dba3a09801fedad12be124-1-35ace4f11cc84c77bd811d152caa8d51be0a8a41","b327130cfc79546df0dba3a09801fedad12be124","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b327130cfc79546df0dba3a09801fedad12be124-0-c5cdf928f240f8bfe6bd420dd937880ec33a0077"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","b327130cfc79546df0dba3a09801fedad12be124-2-d58190c08cd6d544b4f90d1b680b78111167e453","b327130cfc79546df0dba3a09801fedad12be124","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b327130cfc79546df0dba3a09801fedad12be124-0-c5cdf928f240f8bfe6bd420dd937880ec33a0077"
"Air Force Active","0","0.000","0","0.000","0","0.000","2","21.753","0","0.000","2","21.753","2","9.194","0","0.64","0","0.606","0","0.000","b327130cfc79546df0dba3a09801fedad12be124-0-313cdf4b8673a5a925f1f55e152188e3d83c53b8","b327130cfc79546df0dba3a09801fedad12be124","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b327130cfc79546df0dba3a09801fedad12be124-0-9bb3b2c0ac505b05b1ecb5f3c0abddbc868f68f3"
"Air Force Active","36","5.443","0","0.000","36","6.66","36","7.978","0","0.000","36","7.978","12","6.851","0","0.000","0","0.000","0","0.000","b89f06b2fc6fab4c24ceea2ebc6d3af368791d77-0-adef4b89393bef8dcbc044cb0da1efd34a18760c","b89f06b2fc6fab4c24ceea2ebc6d3af368791d77","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b89f06b2fc6fab4c24ceea2ebc6d3af368791d77-0-e4013c37964e423d283408f57ec885177e666961"
"Air Force Active","104","120.37","0","0.000","52","85.113","39","15.996","0","0.000","39","15.996","0","0.000","0","0.000","0","0.000","0","0.000","b89f06b2fc6fab4c24ceea2ebc6d3af368791d77-0-7d817da8c36ca9a472a4a96b7a56231aff282999","b89f06b2fc6fab4c24ceea2ebc6d3af368791d77","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b89f06b2fc6fab4c24ceea2ebc6d3af368791d77-0-44e8f92e527887bf3f94912411c510e43f81faae"
"Air Force Active","0","0.000","0","0.000","3","74.866","4","93.461","0","0.000","4","93.461","7","99.411","3","20.533","0","0.000","0","0.000","bd18b0371a78c52c2adfe6a945abcf473f7ada72-0-d4f4c33124ff7c0adc1ce707bd5288c79f36199d","bd18b0371a78c52c2adfe6a945abcf473f7ada72","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bd18b0371a78c52c2adfe6a945abcf473f7ada72-0-716edc96183f864721dac3ec587c51b6cad95eea"
"Air Force Active","0","0.000","0","0.000","0","0.000","1","10.5","0","0.000","1","10.5","0","5.85","0","0.000","1","6.4","0","5.85","c0cb36b88c9335501521de210df42229b7f6eefd-0-3341f504760e8ef1280606a3403a189375b7a83b","c0cb36b88c9335501521de210df42229b7f6eefd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c0cb36b88c9335501521de210df42229b7f6eefd-0-c52d1896da7d387d35305a9ca8a347da44b62248"
"Air Force Active","0","0.000","0","0.000","0","0.000","25","37.376","0","0.000","25","37.376","32","48.12","0","3.87","0","0.000","0","0.000","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d-0-c85f2e714b0b1744b35cdd0b334320132a7650b4","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d-0-f44466b99ae71d938f7b30e9457e854d75cd0588"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.175","0","0.000","0","0.175","30","6.316","28","5.942","0","0.000","0","0.000","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d-0-d05f38ced7c65b5bd4f01275c718045b261c052e","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d-0-f0c21d947ab18ae93d3490cf23b6c8383802b97d"
"Air Force Active","0","6.882","0","3.042","0","3.841","0","6.012","0","0.000","0","6.012","0","3.088","0","1.639","0","3.429","0","4.219","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d-0-a3218ff5c14e533794e0e8bf28e0749f86ec4713","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d-0-dfa38c7b0f8d6773ce589cbecc02950cee48c291"
"Air Force Active","0","0.000","0","0.000","0","0.000","4","3.166","0","0.000","4","3.166","0","0.000","0","0.000","0","0.000","0","0.000","db18bd00825789823c33bc7ec22afd3752dfccb6-0-85486a64920bb31f4c1c2fa82db73fd15af35c4f","db18bd00825789823c33bc7ec22afd3752dfccb6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db18bd00825789823c33bc7ec22afd3752dfccb6-0-04df519189db99c55962c3681718b62ed26d6028"
"Air Force Active","0","0.000","0","0.2","1","2.065","2","3.152","0","0.000","2","3.152","0","2","0","0.000","0","0.000","0","0.000","db18bd00825789823c33bc7ec22afd3752dfccb6-0-3c68c3e006fae9109f09f3a7de85f6d12e9a2e01","db18bd00825789823c33bc7ec22afd3752dfccb6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db18bd00825789823c33bc7ec22afd3752dfccb6-0-15ab9507b7c6cb85a0e4672152705fe109c96e4e"
"Air Force Active","0","0.000","0","0.000","1","13.1","1","10.4","0","0.000","1","10.4","0","0.000","0","0.000","0","0.000","0","0.000","db18bd00825789823c33bc7ec22afd3752dfccb6-0-ce517e0b725c96064029dd98991b99e5a422476b","db18bd00825789823c33bc7ec22afd3752dfccb6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db18bd00825789823c33bc7ec22afd3752dfccb6-0-fca1648a0fe42a532dbbaad64d44b0552b9f0368"
"Air Force Active","0","0.000","0","0.000","1","0.000","1","2.105","0","0.000","1","2.105","1","2.11","1","2.16","0","0.000","0","0.000","db18bd00825789823c33bc7ec22afd3752dfccb6-0-5d8e681ab57a2c37e191ad107057b08c61f28f42","db18bd00825789823c33bc7ec22afd3752dfccb6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db18bd00825789823c33bc7ec22afd3752dfccb6-0-15c8e63eb75df34b42971e5cd68a354635064bd9"
"Air Force Active","1","2.51","1","0.598","1","1.524","1","5.444","0","0.000","1","5.444","1","5.657","1","5.437","1","6.999","1","7.056","db18bd00825789823c33bc7ec22afd3752dfccb6-0-e848d5c355c591c4933f0e36d7ad8773613d6285","db18bd00825789823c33bc7ec22afd3752dfccb6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db18bd00825789823c33bc7ec22afd3752dfccb6-0-b4674bc443498faeec1af1bd1d21739cbd9dae5e"
"Air Force Active","18","19.26","0","0.986","12","25.979","16","10.745","0","0.000","16","10.745","22","12.97","22","12.38","22","12.59","13","8.36","f44dca61b9b1e835d69d006aa1c3680d9e5ec17c-0-5137a05c53c5fa43a127978482d19e6597894470","f44dca61b9b1e835d69d006aa1c3680d9e5ec17c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f44dca61b9b1e835d69d006aa1c3680d9e5ec17c-0-c84768e35bc82afaf3334190a946d1a0512cce2f"
"Air Force Active","5","0.000","7","554.573","11","714.336","6","475.02","0","0.000","6","475.02","0","159.708","0","74.191","0","0.000","0","0.000","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-0-e27bb9e2fd7ccf498748e3064903d56aa0850960","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-0-c0bc2c3500bbb9d1c2433aa08dc8cd2e3b1cf4dd"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-1-c2cb5688a6d174f321734aa449901a21833eeb33","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-0-c0bc2c3500bbb9d1c2433aa08dc8cd2e3b1cf4dd"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","5","256.803","0","0.000","5","256.803","11","574.744","0","31.999","0","0.000","0","0.000","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-2-59aa453894fe87d1969f48ce3f9b0283e17450a5","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-0-c0bc2c3500bbb9d1c2433aa08dc8cd2e3b1cf4dd"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.000","5","25.425","5","25.425","0","0.000","0","0.000","0","0.000","0","0.000","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-c0aab541537ada06be676b4e7515076e11a37d21","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-5a567dfd1f263be134d5b6169f499a7aa704ee0b"
"Air Force Active","0","0.000","6","0.000","7","0.000","1","4.285","8","34.1","9","38.385","2","7.938","2","7.682","2","7.825","2","7.95","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-00d20047eb35ed82e5f248669a3cdd33710c017a","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-c556a3d37ef11c7e685c42df82ed7d7d8e309f65"
"Air National Guard","2","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-1-cdb0709f5d99bf862256e6f2d784e9a497abd652","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-c556a3d37ef11c7e685c42df82ed7d7d8e309f65"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-2-2155f9d0f0187ce8a93b6b8147ddc8ac5c54c791","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-c556a3d37ef11c7e685c42df82ed7d7d8e309f65"
"Air Force Active","0","0.000","0","0.000","0","0.000","1","12.884","0","0.000","1","12.884","1","12.085","1","15.375","1","15.31","2","15.627","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-587df2f5e4d6816ac5333ec072426761561d38a7","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-d2bd807ad02a310465ab8b588f7fd78b9e18ab7e"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-1-64d7d9a4d05ffa6df15ebda5c362629fd43ad636","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-d2bd807ad02a310465ab8b588f7fd78b9e18ab7e"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","1","4.484","0","0.000","1","4.484","0","0.000","0","0.000","0","0.000","0","0.000","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-2-a2d0c24c600dfb431c30d5ab80e2abd58d0fd922","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-d2bd807ad02a310465ab8b588f7fd78b9e18ab7e"
"Air Force Active","0","0.000","3","0.000","0","0.000","0","3.147","0","13.792","0","16.939","0","1.196","0","3.879","0","1.31","0","3.77","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-c96d1e69e317193fcc82ebee2cf7d47540cbccf7","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-e1c88e9ecf2fecda228e973f93bbae6ca32ea206"
"Air Force Reserve","0","0.000","6","0.000","9","0.000","0","0.000","2","10.908","2","10.908","1","4.043","0","0.000","1","4.171","0","0.000","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-1-621da80199de9d03fd856973e7b1c477c485d3c1","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-e1c88e9ecf2fecda228e973f93bbae6ca32ea206"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.000","12","42.86","12","42.86","0","0.000","0","0.000","0","0.000","0","0.000","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-54075fb50d8f7d0b105cddf2e6066dcfe0565cae","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-5b963cf0405209c16d4033935e12732d751bb06c"
"Air Force Active","0","0.000","0","4.61","0","0.000","0","147.995","0","0.000","0","147.995","0","157.777","0","245.462","0","223.683","0","252.141","f83e662296489d8a0c9360475029f8428f298463-0-7802d073d7166cebbf6bff352fa8cb89b06e50e5","f83e662296489d8a0c9360475029f8428f298463","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f83e662296489d8a0c9360475029f8428f298463-0-3dec9e41eb2783a713d03925553df5c69c24dc50"
