"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0603502N","64b9b7f882781680365a3bd1e4101ef182eadba2-0-6fb89d8678083877a42a2e1ffdd47c9e627cdf3b","64b9b7f882781680365a3bd1e4101ef182eadba2","root","64b9b7f882781680365a3bd1e4101ef182eadba2-f4eb4509db13a5d98f138d3f5e04df101d45f0e9"
"0603881C","64c2085b24f7871ccd17fccf20ceb6dd29a8837f-0-c850a7b3739398115c741cbf0da5a596d8953366","64c2085b24f7871ccd17fccf20ceb6dd29a8837f","root","64c2085b24f7871ccd17fccf20ceb6dd29a8837f-ca3d94230d8306456f30988c9d4986ae6d24d694"
"0603884C","64c2085b24f7871ccd17fccf20ceb6dd29a8837f-1-e7696e4ea3360e425104c942118009721aed884c","64c2085b24f7871ccd17fccf20ceb6dd29a8837f","root","64c2085b24f7871ccd17fccf20ceb6dd29a8837f-ca3d94230d8306456f30988c9d4986ae6d24d694"
"0101125F","67030172280356a644417b388163caafa063f633-0-3d819ed0d896b53cd6a83aaeb3140f9ccf6620cb","67030172280356a644417b388163caafa063f633","root","67030172280356a644417b388163caafa063f633-34145963a4e2099363459802cbed90b033d0186e"
"0101127F","67030172280356a644417b388163caafa063f633-1-7a12f5931430f0bcc2313785f28edbb0fc314ea1","67030172280356a644417b388163caafa063f633","root","67030172280356a644417b388163caafa063f633-34145963a4e2099363459802cbed90b033d0186e"
"0401314F","67e51428862d3812938920fc102936fa486dfed4-0-2784fa6d961552cee86a18a7e7e3ac7e5fff2aeb","67e51428862d3812938920fc102936fa486dfed4","root","67e51428862d3812938920fc102936fa486dfed4-2da4753aa17aa1cf0504e99aefcd4152cc2748b5"
"0207429F","68c3def9d0aef6eb484db823eef170fc239204f3-0-a495e5a63163e0c121a55998bb6427d388d4944e","68c3def9d0aef6eb484db823eef170fc239204f3","root","68c3def9d0aef6eb484db823eef170fc239204f3-07ff1a2caa263dc71ed180e708928a2e6da45de6"
"0401134F","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff-0-e1273e2acf540e83b2e56f05466ce226274f0183","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff","root","6cf01fb015f0b3745b62b704b57fdd7e5ba2bfff-a7fa62ceb58b37551829f11a3c18e8a1469a9f1f"
"0401314F","70e65ea56f3a5e28fba4b71aeaff232908c3d2dc-0-87ef561d91c34400b87be2ffca78afdc153a944d","70e65ea56f3a5e28fba4b71aeaff232908c3d2dc","root","70e65ea56f3a5e28fba4b71aeaff232908c3d2dc-5f8149beed6be2418ce97ef6bff22064cca657a2"
"0207142F","790a190d186bbe24493dfb9f94e07f9db4ea0ac7-0-2f6313cacb884c97e52b1f5e232b5e35fce1e350","790a190d186bbe24493dfb9f94e07f9db4ea0ac7","root","790a190d186bbe24493dfb9f94e07f9db4ea0ac7-e9db2300d1985a08f50e660df136a0b485f33bfd"
