"Title_val","Funding_PriorYear_val","Funding_CurrentYear_val","Funding_BudgetYearOne_val","Funding_BudgetYearOneBase_val","Funding_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Other Adjustments","","","17.970","17.970","","11829291d56ae7c049392f2ba69a59a77fdaae37-0-b225bb1c0774faf646d8227773e15d609cc447de","11829291d56ae7c049392f2ba69a59a77fdaae37","root","11829291d56ae7c049392f2ba69a59a77fdaae37-9e7d09a2f2201ef1ed5a88f6d2dac47d86275b81"
"Other Adjustments","0.000","0.000","-0.250","-0.250","","11b637918138dddca43297ca9546d171c051acb6-0-2cb6392857d626388be9337d66d3ecbd6b9cea09","11b637918138dddca43297ca9546d171c051acb6","root","11b637918138dddca43297ca9546d171c051acb6-782fba803ea7b16722b15610014d80e656c11db2"
"Rate/Misc Adjustments","0.000","0.000","0.200","0.200","","12ead7b29d2ed3fda92f69df2be8b0551f71724d-0-de4ac16ac201c7b3c80521d0d5579bd3ed4e7ab0","12ead7b29d2ed3fda92f69df2be8b0551f71724d","root","12ead7b29d2ed3fda92f69df2be8b0551f71724d-6ab85f22d433ae2f9125351b15e85e0eb8c376e9"
"Rate/Misc Adjustments","0.000","0.000","22.800","22.800","","12f4cedc60d57081759fde063ef13345e9e744ed-0-f183ce22ebe21c0b658d22bca45ba0391fbeac7b","12f4cedc60d57081759fde063ef13345e9e744ed","root","12f4cedc60d57081759fde063ef13345e9e744ed-69613a16e66b8ca302fe9892751ea24bde2ebde0"
"Other Adjustments","0.000","0.000","0.000","0.000","","1329bee9fcea57a89457b71bf3de234f28d3ac05-0-2a8e09dc47ba2be69f7d1f4dbb872a3907f70cf5","1329bee9fcea57a89457b71bf3de234f28d3ac05","root","1329bee9fcea57a89457b71bf3de234f28d3ac05-d73ac4153b9a5c037b1fafd28276cad061fc31bd"
"TotalOtherAdjustments","","","25.274","25.274","","13bf24e55257e22f7f6d15f30cb417a6edf82e0f-0-55d7cf48926986e65bc19b117d89270afc79891c","13bf24e55257e22f7f6d15f30cb417a6edf82e0f","root","13bf24e55257e22f7f6d15f30cb417a6edf82e0f-909571c21c0a019271a3526898a4266f5b7de5b0"
"Adjustments to Budget Years","","","-6.097","-6.097","","13f0ce852c9252859f661b182e5a25b0462dd4da-0-a6b4c0805010b7fe65c1c338de86b420be21bb08","13f0ce852c9252859f661b182e5a25b0462dd4da","root","13f0ce852c9252859f661b182e5a25b0462dd4da-ae7e16c02de1b565e5d41205a5b5bf58d66a7165"
"Adjustments to Budget Years","-0.122","","-0.714","-0.714","","140a29dee8f8a7782e532a9642315b0a4c4e78cd-0-efd63bd78add415428500a4f8ec8a23278d06072","140a29dee8f8a7782e532a9642315b0a4c4e78cd","root","140a29dee8f8a7782e532a9642315b0a4c4e78cd-7f9cee4ee70b7428dd8b9a6e58bbabaf161fb8e6"
"Rate/Misc Adjustments","0.000","0.000","-1.049","-1.049","","15255992183d8bf42d0202cc2a81ecf580a2dce3-0-bc47660bd960a1f84754f61b86367d4ba852f123","15255992183d8bf42d0202cc2a81ecf580a2dce3","root","15255992183d8bf42d0202cc2a81ecf580a2dce3-960b9a04320759ecf78ff33324d5ec1e8770d8f6"
"FY 2014 Departmental Fiscal Guidance","","","-0.127","-0.127","","15289c101521a382df1c8d2be4934010e2c8363e-0-9ab59bc3d3f153f2efa18b32fea0df508a59d210","15289c101521a382df1c8d2be4934010e2c8363e","root","15289c101521a382df1c8d2be4934010e2c8363e-1ed4356f07d87868a2a2df56983f8ec9c605d18a"
"Other Program Adjustments","","","0.000","0.000","","152aa9f558c6f90aef29621b3c88d1fe00efb134-0-18e70c153b27696256d2cf881d6cc42d30c548a7","152aa9f558c6f90aef29621b3c88d1fe00efb134","root","152aa9f558c6f90aef29621b3c88d1fe00efb134-dcda4dd1945315d3f43433243760c24f3f4c8e50"
"Adjustments to Budget Years","","","-4.685","-4.685","","1547853e08bc05d14f4d541cba2a5e28654f17b8-0-f5edb46f0525477415a90e0f6dff0cd01abffb7e","1547853e08bc05d14f4d541cba2a5e28654f17b8","root","1547853e08bc05d14f4d541cba2a5e28654f17b8-c1d45dbc93d0517b8408d2af1a7bbcf7d9d80361"
"Other Adjustments","-4.198","0.000","0.000","0.000","","15b151af8b1f7504ca786ee8a3c82f7b4f8d5c22-0-793fb0a68e30399376d528010082cb004d78f2c0","15b151af8b1f7504ca786ee8a3c82f7b4f8d5c22","root","15b151af8b1f7504ca786ee8a3c82f7b4f8d5c22-c120eef94fdbb4c9396fbc25376ec816c8f4540b"
"Other Adjustment","0.000","0.000","0.000","0.000","","16362e4fb4bab997a371323d8f548df06dbffa1e-0-1a24161da7ec70b270bd9d68dcd8c4cc218ee8d4","16362e4fb4bab997a371323d8f548df06dbffa1e","root","16362e4fb4bab997a371323d8f548df06dbffa1e-9c7ed84097a874582048b6918d0e560070d1292c"
"Adjustments to Budget Years","","","5.000","5.000","","16739ae35a397ae46d4263ae2df4831a740bddf8-0-5d44cd1a2c4168e5c557214f00919ed14757d2c8","16739ae35a397ae46d4263ae2df4831a740bddf8","root","16739ae35a397ae46d4263ae2df4831a740bddf8-0b3521181244639bf9664ee6e6ce765e5a29f665"
"Rate/Misc Adjustments","0.000","2.173","-0.013","-0.013","","168d206459625b80c981d5847927155308348e1f-0-e255f9ee6afb40b56b773caa0123679ced4e200a","168d206459625b80c981d5847927155308348e1f","root","168d206459625b80c981d5847927155308348e1f-a380ad159705c0df02bf84880984bee67a6a1d70"
